时间戳 = 1724636806.682000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1724636806.728000  方向盘角度 = -965  油门 = 32767  刹车 = 32767
时间戳 = 1724636806.775000  方向盘角度 = -964  油门 = 32767  刹车 = 32767
时间戳 = 1724636806.823000  方向盘角度 = -963  油门 = 32767  刹车 = 32767
时间戳 = 1724636806.870000  方向盘角度 = -963  油门 = 32767  刹车 = 32767
时间戳 = 1724636806.916000  方向盘角度 = -962  油门 = 32767  刹车 = 32767
时间戳 = 1724636806.964000  方向盘角度 = -951  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.012000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.059000  方向盘角度 = -943  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.107000  方向盘角度 = -943  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.155000  方向盘角度 = -943  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.202000  方向盘角度 = -943  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.248000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.297000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.344000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.389000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.436000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.481000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.528000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.575000  方向盘角度 = -939  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.622000  方向盘角度 = -943  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.669000  方向盘角度 = -943  油门 = 32767  刹车 = 32767
时间戳 = 1724636807.716000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
