,city_duration_sec_mean_over_windows,city_sampling_rate_hz_std_over_windows,city_steer_mean_mean_over_windows,city_steer_mean_std_over_windows,city_steer_min_mean_over_windows,city_steer_min_std_over_windows,city_steer_max_mean_over_windows,city_steer_max_std_over_windows,city_steer_median_mean_over_windows,city_steer_median_std_over_windows,city_steer_q25_std_over_windows,city_steer_q75_std_over_windows,city_throttle_std_std_over_windows,city_throttle_min_mean_over_windows,city_throttle_min_std_over_windows,city_throttle_median_mean_over_windows,city_throttle_q25_mean_over_windows,city_throttle_q25_std_over_windows,city_throttle_q75_mean_over_windows,city_brake_std_std_over_windows,city_brake_min_mean_over_windows,city_brake_min_std_over_windows,city_brake_median_mean_over_windows,city_brake_q25_std_over_windows,city_brake_q75_mean_over_windows,city_steer_abs_mean_mean_over_windows,city_steer_abs_std_mean_over_windows,city_steer_pos_ratio_mean_over_windows,city_steer_neg_ratio_std_over_windows,city_steer_zero_ratio_std_over_windows,city_steer_signchange_rate_mean_over_windows,city_steer_signchange_rate_std_over_windows,city_throttle_active_ratio_mean_over_windows,city_throttle_zero_ratio_std_over_windows,city_throttle_active_mean_std_over_windows,city_throttle_active_std_mean_over_windows,city_throttle_active_std_std_over_windows,city_brake_active_ratio_mean_over_windows,city_brake_active_ratio_std_over_windows,city_brake_zero_ratio_mean_over_windows,city_brake_active_mean_mean_over_windows,city_brake_active_mean_std_over_windows,city_brake_active_std_mean_over_windows,city_brake_active_std_std_over_windows,city_steer_diff_mean_mean_over_windows,city_steer_diff_mean_std_over_windows,city_steer_diff_std_mean_over_windows,city_steer_diff_std_std_over_windows,city_steer_diff_abs_mean_mean_over_windows,city_throttle_diff_std_mean_over_windows,city_throttle_diff_std_std_over_windows,city_throttle_diff_abs_mean_std_over_windows,city_brake_diff_mean_std_over_windows,city_brake_diff_std_mean_over_windows,city_brake_diff_abs_mean_std_over_windows,highway_n_samples_std_over_windows,highway_sampling_rate_hz_mean_over_windows,highway_sampling_rate_hz_std_over_windows,highway_steer_std_mean_over_windows,highway_steer_min_mean_over_windows,highway_steer_min_std_over_windows,highway_steer_max_mean_over_windows,highway_steer_max_std_over_windows,highway_steer_median_mean_over_windows,highway_steer_q75_mean_over_windows,highway_steer_q75_std_over_windows,highway_throttle_mean_std_over_windows,highway_throttle_std_mean_over_windows,highway_throttle_std_std_over_windows,highway_throttle_min_std_over_windows,highway_throttle_median_std_over_windows,highway_throttle_q25_std_over_windows,highway_throttle_q75_mean_over_windows,highway_brake_mean_mean_over_windows,highway_brake_mean_std_over_windows,highway_brake_std_mean_over_windows,highway_brake_std_std_over_windows,highway_brake_min_mean_over_windows,highway_brake_min_std_over_windows,highway_brake_max_mean_over_windows,highway_brake_median_std_over_windows,highway_brake_q25_mean_over_windows,highway_brake_q25_std_over_windows,highway_brake_q75_mean_over_windows,highway_steer_abs_mean_std_over_windows,highway_steer_abs_std_std_over_windows,highway_steer_neg_ratio_mean_over_windows,highway_steer_zero_ratio_mean_over_windows,highway_steer_signchange_rate_std_over_windows,highway_throttle_active_ratio_std_over_windows,highway_throttle_zero_ratio_std_over_windows,highway_throttle_active_mean_mean_over_windows,highway_throttle_active_mean_std_over_windows,highway_throttle_active_std_mean_over_windows,highway_throttle_active_std_std_over_windows,highway_brake_active_ratio_mean_over_windows,highway_brake_active_ratio_std_over_windows,highway_brake_zero_ratio_std_over_windows,highway_brake_active_mean_mean_over_windows,highway_brake_active_std_mean_over_windows,highway_brake_active_std_std_over_windows,highway_steer_diff_std_std_over_windows,highway_steer_diff_abs_mean_mean_over_windows,highway_throttle_diff_mean_std_over_windows,highway_throttle_diff_std_std_over_windows,highway_throttle_diff_abs_mean_mean_over_windows,highway_brake_diff_mean_mean_over_windows,highway_brake_diff_mean_std_over_windows,highway_brake_diff_std_std_over_windows,highway_brake_diff_abs_mean_mean_over_windows,highway_brake_diff_abs_mean_std_over_windows
city_duration_sec_mean_over_windows,1.0,-0.3018090802443229,-0.1815930760680814,0.009286706140787363,-0.44790172209058965,0.04185194189436944,0.03298267541295478,-0.3293462336851633,-0.0961723393021648,0.002647042626942385,-0.05884663558326299,-0.21543981592791295,-0.40216791772821586,0.03766291643240974,-0.38053322605458273,0.022407875705577767,-0.17867402553129708,-0.13261533208591514,0.2442799507360863,-0.05401965830891104,-0.3649329263951804,-0.08680899726036433,-0.16600020974827287,0.21899443192094453,-0.17156126277470002,0.0622839589885499,0.14904755196716443,-0.012684770118179454,-0.15237648056866251,0.332418510371963,-0.11263023031832967,-0.35881418170546525,0.08254640076127233,0.06022709897873673,-0.37067769825865027,0.04318584895539183,-0.309009463028772,-0.057325966675770154,0.13816586671818426,0.14930192780766946,-0.3886408127075023,0.2356363158695811,0.39378035372473774,0.010907232964725776,0.18201340026513435,0.024099658688321816,-0.15288578545910028,-0.43250155845622285,-0.2356083212430975,-0.14356885297688143,-0.3948064577339043,-0.31064048288925933,-0.2802899638812341,0.08175184724829435,0.30182460365354513,-0.5651765393693079,0.1985705751439266,-0.23382197799918128,-0.35489353212525676,0.5152554648068156,0.05121246151408364,-0.2951373953327484,-0.2629678168303221,0.05736042093036976,0.28557970954536144,0.219956843382322,0.07280056766033456,-0.12989227611623005,-0.07185700172638518,-0.10329583323685824,0.1410755051221328,-0.033962582008701975,-0.15471799745829412,0.4244117920985469,-0.23602774235438037,-0.29481069824890466,-0.03152336264678384,0.26841902070197793,0.09411143236920634,0.35935137385113913,-0.29497804459065424,0.32399946512927585,-0.12441866215221854,0.2866115438090259,0.06348309319970631,0.10039322471312948,-0.04062583418990966,0.2229424441264318,0.24771800070118258,0.06707489987947719,0.03996600409270946,-0.06559139137160012,0.07584130922586546,-0.09342999777300673,0.010381900714400082,0.3324208571385993,-0.22207831911752668,0.20354366236380664,0.23139532616378558,-0.1604841893393482,-0.01624309571754995,-0.09986069282430528,-0.36196301228772293,-0.24892579040754037,-0.2491599047517931,-0.09316412684851559,0.316247963289326,-0.4092427731580608,-0.09270431909080798,-0.236340574964073,-0.205981558147424
city_sampling_rate_hz_std_over_windows,-0.3018090802443229,1.0,-0.3039909192414871,0.17426331383874588,-0.08269477010459861,-0.017684447370919516,-0.2551401556428181,0.10978073819053766,-0.17208236688939868,0.07765643810098771,0.43680863591776153,-0.077612105600399,0.5521870119919469,-0.27943700077811806,0.07140277292740949,0.13411990405857066,-0.07208685844584209,0.1322952903683686,0.09298041912379222,0.03308281485337022,0.005041505892524504,0.13681493382117893,0.18976181313698856,0.030089224010767922,0.13411294129663734,-0.015951441093861592,-0.19003266066767133,-0.1991812926572309,0.2638570998180266,-0.24938077700664374,-0.08133759086293245,0.003313144744372798,-0.4086584664311089,0.16423043324197054,0.1535232243961522,0.35818895935846046,0.3971994526945759,-0.052017580574457656,0.011117370626591787,0.31738560110361,-0.15339060516917136,-0.03684569428567748,0.1845001176729388,0.1452132447106121,0.46199378142665665,0.4154221853657124,0.09991597896501808,0.4657927950715371,0.24342746736363874,0.35139276826976196,0.4153350567931023,0.5657714040414604,-0.038553539178494696,0.11355993192407296,0.01112674323393296,0.13641083168906804,-0.3623848365869178,0.3593263424407028,-0.13796148537664477,0.08834440304126702,-0.40806278963258424,0.28204761625784613,-0.05885117482423766,0.007315753545701891,-0.18894304719808327,-0.2343740207106558,0.29626938302935085,0.42300019067427186,0.33968572665780833,0.2694650257050724,0.22858831325324402,0.22976076986936508,0.04200808623860546,-0.43478755573570876,0.42956771095194873,0.24157053382086394,-0.08481608784315822,-0.25538108254468694,-0.15859150643808206,-0.029290195687497248,0.3698780107202909,-0.1628701575643559,0.1831251758455415,-0.49779910284557904,-0.11232186797743918,-0.4036538532467048,-0.03829814200382647,0.42777240581226667,0.07281355695172072,0.18718848202147242,0.2882802929918911,0.09114839446853515,-0.24679789915377545,0.07086527118794264,0.10136994176403373,-0.33935703820651686,0.2799147930912088,-0.005655149862811192,-0.2587399972409863,0.1675701645138442,-0.1258674796073301,0.08903004564966388,0.35383251992708187,-0.05250882343080447,0.3539274531847113,0.31422488345212135,-0.1294930902994566,0.58116265551976,-0.16318551432653522,0.33239905218079435,0.38137327473478494
city_steer_mean_mean_over_windows,-0.1815930760680814,-0.3039909192414871,1.0,-0.0172816186658357,0.3838464762560955,-0.17695851225396578,0.7721406438810213,-0.3824969024540619,0.6265078634149994,0.04992858987348623,-0.6235843062204538,0.8049259315469445,-0.09186351684514124,0.10294549774732135,0.2662404184018808,0.14669423728534062,0.00896555512429981,-0.16067316740564672,0.1774800351050466,-0.21974781479201663,0.11828832061069615,-0.1666323622003037,-0.14025530651888032,-0.1677623283859716,0.2641910173364249,0.5013918468454632,0.675353928138577,0.7154480677879183,-0.5210912325452377,-0.22470794716583758,0.15458709594986916,0.1147436069460297,0.001831500643849179,-0.1262895596473433,-0.34943316715136363,-0.1075814830659675,-0.107143289564166,0.22635907415833065,-0.19228814004773126,0.17445710002496184,0.1536535910376537,0.02278271506999393,-0.1349809509426744,0.03935704297557946,-0.35375187885432624,0.2589373991531732,0.42804989912208513,0.15211238856139594,0.4379678423926093,-0.08173790777731937,-0.11314828213539016,-0.027593647104470452,0.18007107859683263,-0.1384058181556055,-0.12680012670663696,0.010090810847674905,0.5088776163544287,-0.21817997103174405,0.12539638859235722,-0.08545004984265277,0.16552685550768115,0.19650324211181658,0.347318916138516,0.1812983593552995,0.06540262791595264,0.1724273217398065,0.06035968222201235,-0.05047155382403487,0.039607400365073125,-0.0074634502890174315,0.04924455773109465,0.04985819836211329,0.0037958655546310965,-0.0018487293789836063,-0.17359916655949004,-0.005634240468767336,-0.27856210960144023,-0.1389800423215149,-0.05914501092097011,-0.30567833186490456,0.012838829509255734,0.007498241113039776,-0.09032660015923624,0.029099573817849434,-0.0068939031793200855,0.23015405071547645,-0.11939215041040586,0.03208406792523393,-0.11636741215242988,-0.07101586267158663,-0.1655251936738912,-0.13438911399717424,0.47831095284830993,0.08321763208089566,0.1990377283259107,0.1800732724259141,-0.28226431883831155,-0.20693695205804893,-0.29487262766080574,0.16004514821216728,0.00570446702613845,0.12180746821938386,0.04797631324810337,0.12445532347502568,0.08952837779705072,0.07906293851513314,0.1354098418832127,-0.2300398345797998,-0.22395679744076635,0.13610999125238618,-0.21068354173306172
city_steer_mean_std_over_windows,0.009286706140787363,0.17426331383874588,-0.0172816186658357,1.0,-0.0006793785775841315,0.42313157433297843,-0.16871705168462084,0.11348131035565598,-0.014159353530919938,0.6753566346796883,0.3749994635128402,0.4078056501544724,0.05069180430111234,0.11369091833094777,-0.030360503756986235,0.030295427102157955,0.22812866985149635,0.010151640427369556,-0.028035798577888887,0.1238578486379702,-0.3087972823319334,0.14567919723027192,-0.45006953182777737,0.08071486413331654,0.13808172230767324,0.4504176682447836,0.1321503986352267,-0.11723033463900759,0.47532838804875477,-0.08869236340059355,-0.34044653423247906,-0.2625636315386384,0.23563215627841275,-0.1074264677829588,0.11443446438583718,-0.128990396507309,0.16915921937110506,-0.06644307294986228,-0.03620592508808505,0.05713536074152843,-0.03578232810072913,0.38457232151128135,-0.01947064372386521,0.04831540282490052,-0.05636131530337419,-0.0945474070307105,-0.2354457242483606,-0.0464831680193359,-0.042667371161367575,0.12989566248040676,0.08255143531097131,0.18144710373201195,0.3052564474062886,0.28713525348036517,0.17972841584844002,-0.4399687650205142,0.3046687312105133,0.15317558030144274,0.005627783740625926,0.10113257892325947,-0.03689046753986324,-0.25656097576229514,-0.39154767577950295,-0.14511581582513483,0.005656438842066795,-0.06716381905387604,-0.16583138821215646,-0.20120729035151566,-0.16089403852257078,0.10650614058466414,-0.24340126207227836,-0.15166179842447142,0.26013965074032025,0.2305200543280823,-0.007848933634707614,-0.1654957546610494,0.005026529952377833,-0.000274302775656217,0.05010780019167568,0.11864076370040191,-0.09044097292333725,0.14320483070377862,-0.14423340443664037,0.02017106935449827,0.27986879810674337,0.21933219954734212,-0.020647814835231454,-0.13070542488637701,-0.007418901849653267,-0.3107470424188553,-0.13105207506519953,0.035110490169421214,0.06235929161270374,-0.08158515469934256,-0.04883333138265353,0.0799188021417221,-0.015529396429772037,-0.11099605555152259,0.2869756588440321,-0.2984391973649257,0.06845739974004725,-0.3424097331330217,-0.10174121229228841,-0.25425494167139884,-0.0153646779239222,0.14158741033613065,-0.11491918664098097,0.08283911860395321,-0.07201523883511532,0.08967510104771431,0.08490450805159261
city_steer_min_mean_over_windows,-0.44790172209058965,-0.08269477010459861,0.3838464762560955,-0.0006793785775841315,1.0,-0.11977458027591337,0.19353845098266673,-0.13676608672436827,0.0826931940551982,-0.1274044235131451,-0.18562522778028626,0.2124944433827188,0.10579829166568974,0.07403686959865914,0.0939589155558281,0.06879197957077823,0.2060600742918534,-0.15268791825580516,-0.0646110479021188,0.02639307839193435,0.3507562112148853,0.10888954603324591,0.09717048497839205,-0.29025864408704793,0.1397552576691884,-0.03289070280816209,-0.01992677041304281,0.24805714069362952,-0.11122826620797416,0.011135335650194481,0.1781021213853569,0.10003985528614744,0.059749502770881466,-0.14886099538459407,-0.0742661792078118,-0.14959705425794426,0.10858535410466001,0.2045135469653205,-0.34578201159221367,-0.13677644165689543,0.4401323305511954,-0.12458232074524116,-0.41532779549976967,0.05104958870787505,-0.3369783827494915,-0.08102232429797279,0.07039093465835769,0.2058921234905022,0.07522972948019407,-0.017039847122727568,0.06399768097688058,0.06683046740833525,0.10196150279424938,-0.23909653008422163,-0.31634029885224463,0.3885815420462481,-0.2046628444352328,0.06464337268557145,0.4044290471913598,-0.3156335264634919,-0.08927246034722494,0.3555124147662606,0.31052321630758367,-0.09057766903688912,0.23472102930598018,0.3464495118375161,-0.0341553321968524,-0.0984876312079582,0.07306714134794733,-0.02472829266398243,-0.15081155730143586,0.05939893388627728,0.05922521905255355,-0.20090614486522476,0.1257423385713831,-0.004475226987384487,0.018895507772022542,-0.04756089922498873,0.09741124402017294,-0.3981637940408364,0.27852303836980685,-0.08974500844290235,-0.14677944923049083,-0.3161148171543383,0.1423774647849348,0.13056135178399966,0.06325974255899917,-0.3076622172469078,-0.13337018937411335,-0.10671531054866787,-0.29031579091641513,0.12651499360958418,0.3623014958416075,-0.08882419999408878,0.26344016043094204,-0.005672019742111556,-0.057054957182670465,-0.1082130413682505,-0.3538535168613417,0.006222788002507426,0.044088373800999,0.23074643486013172,0.3130915734978445,0.1331616472588171,0.20560083215260325,-0.010997092798792085,-0.10133713676077734,0.055344565440074336,0.08060972653228746,-0.11016717771368463,-0.07830063149544504
city_steer_min_std_over_windows,0.04185194189436944,-0.017684447370919516,-0.17695851225396578,0.42313157433297843,-0.11977458027591337,1.0,-0.170516113351155,0.4080867257466453,-0.035002481145263074,0.02911252990638936,0.2123670942004697,-0.07191083046307684,-0.23843743857519498,0.2770107905143799,0.03760379743609436,-0.10882302019409784,0.07027126374131083,-0.11378892364935182,0.18789163819641905,0.11950013011565154,0.056864557444088505,0.04863744924774722,-0.2098277510140294,0.07834513970484931,0.03616920668659302,-0.09814582531188958,-0.06499473204374753,-0.13590867660000794,0.10533746999504612,0.12741287777483265,-0.2509987481180301,-0.19857545364196685,0.5109701874679523,-0.14826540500676222,-0.016427100085565197,-0.32822544039034285,-0.15962932093233956,0.007645806340197313,0.11529764402746613,0.08602447019631272,0.06591019624422272,0.24022672952148835,-0.07289817154091874,0.23060936042663802,0.10595593949569175,-0.28027675651714257,-0.420227493925366,-0.32311699934329785,-0.4378854726470823,-0.2526383668032969,-0.16293124430712236,-0.23196693208488897,0.2986545453400766,-0.15283549208088065,-0.04479011135134247,-0.28648828032443263,0.023015283970019368,0.06269934050208882,0.2752184822475383,0.10641935519438293,-0.08042231748513273,-0.2311859706571514,-0.15206841751206698,-0.271407594324597,0.057436435128957214,-0.11227880858592115,-0.381429442403928,-0.4705038605215158,-0.5100940733801416,-0.46250666640170124,-0.38433309396203447,-0.32521371611762323,0.019985575950941727,0.32356100320388065,-0.19705727747318819,-0.22388159671253668,-0.07165630279843072,0.3843261121656838,-0.1731849804405107,0.5463669109497435,-0.2576421800365444,0.01085289670986157,0.033883340279871776,0.4393250300748397,0.5365433367456488,0.4649434445337723,-0.0765351070913666,-0.24006688382292196,-0.23077167046940156,-0.5107340020694182,-0.04161006489005707,-0.060969045507895586,-0.0841582606531066,-0.14112811127978983,-0.29718397569985405,0.04301808834982096,-0.06131861629742686,-0.16956575088002918,0.4219584790191697,-0.17570697384740347,0.39096230378707586,-0.24254191528343724,-0.37783970427440955,-0.08590644814183043,-0.5272801101365792,-0.3812035205648742,-0.050057656606784365,-0.061669257744897246,-0.26556397891778993,-0.3434487459878533,-0.3031398154718287
city_steer_max_mean_over_windows,0.03298267541295478,-0.2551401556428181,0.7721406438810213,-0.16871705168462084,0.19353845098266673,-0.170516113351155,1.0,-0.6753907839400144,0.19867860259429224,0.07983691186714204,-0.454052190145723,0.5770714095254498,-0.12452670091563434,0.12041156983669954,0.09603000349136759,0.29176599611713655,0.09514701727316208,-0.2371131531852169,0.2650176119543504,-0.058044368395403625,0.049976227165414944,0.08990493866079614,0.008292221680317756,-0.1987519840207173,0.3177092296555232,0.5927219185223477,0.8676527791022396,0.38480492151017964,-0.4724364618937313,-0.2651841753966267,0.14598474905401015,0.07161323917825647,-0.05206914961703569,-0.16734905100707717,-0.3953482233957188,-0.0907433800084779,-0.09013106758719742,0.16992896669008078,-0.04807876467389177,0.008158378705212637,0.16626467136511552,-0.13190557153195592,-0.07682031057882513,0.1804739583353768,-0.37521748767090013,0.32525672739108924,0.5536904768857803,0.05779896312761404,0.46477665226756404,-0.019970188811360503,0.047088893868173914,0.027891731253588455,-0.062118618790337206,-0.14487807226124502,0.19924732950866783,0.03397397083213436,0.3655183011844529,-0.12649559172377547,0.01395569838640005,0.055815369812659416,0.1353402575119764,0.18765006613253665,0.46033973818380525,0.06108733398159254,0.023266750482061792,0.23138456731640827,-0.07477475469533663,-0.17525610688403848,0.041698464376809276,-0.032859447659871505,-0.07806492119950662,-0.08338095086476022,0.13403606330218729,0.05620724257144728,-0.10200769777661625,-0.16453484457449877,-0.11157019327018415,0.007897306189105918,0.2421105965886231,-0.363209924443007,0.04814005874783163,0.03280025182526553,-0.0645597679093744,-0.05515713381828981,0.029547476811361845,0.2233946896462319,0.1369030859739936,0.21877262485765658,-0.2223685582668374,-0.1897868063061417,-0.18634278614978034,0.09984506849139022,0.41389625598101776,-0.1424907349472838,0.38690176008596433,0.15610558218283838,-0.19621810186717956,-0.2846537881125933,-0.16714793070758782,-0.09446686276265968,0.09007125918245083,0.20678418403140292,-0.04114103438014139,0.11443422906862699,0.06009425357781816,-0.0543859052681088,0.015444400595894489,-0.13973675750161693,-0.0525561658161627,-0.02903093031152915,-0.03190271819114743
city_steer_max_std_over_windows,-0.3293462336851633,0.10978073819053766,-0.3824969024540619,0.11348131035565598,-0.13676608672436827,0.4080867257466453,-0.6753907839400144,1.0,0.10375441690909173,-0.08558981825306963,0.11937524175129688,-0.34106657342450286,-0.12870041200404958,0.16071860214646824,0.06471573195331591,-0.1051826123400967,0.13379466750717747,0.004430404591842343,-0.15217555242145625,0.04425313407909567,0.22002791716039347,-0.12775433947620898,0.034153857580745225,0.07188684393714179,-0.0886857159145786,-0.5341970092381632,-0.6960107363350401,-0.09992123944065176,0.22694109937018772,0.17184598016278607,-0.10778944117646588,0.12688010040883269,0.3660752478315879,-0.06388609413701996,0.12298321479396898,-0.24834178508433402,-0.1915714134996787,-0.021459772905803136,-0.01898282707546729,-0.08755677322279508,0.04387482425048629,0.056379619841817545,-0.15402638538262325,-0.01315640792359143,0.26178990274184966,-0.44720083285004864,-0.6593702051909085,-0.004060480373489826,-0.5153216519311442,-0.313584823823586,-0.05355047793512572,-0.280310554032588,0.29940897195924276,-0.23213131527978942,-0.44594530113891484,-0.006980235813054051,-0.21935165696350747,0.18583538028722957,0.05041400124538254,-0.07389853715419298,-0.12384830649979922,-0.2594891832554576,-0.30865799410360584,0.13361283656120082,-0.08302706796582474,-0.44728659926381337,-0.16613665558184834,0.010566242133985396,-0.3510242219107985,-0.34325729700131646,-0.09307885071166902,-0.10539473460743842,-0.2584950642690694,-0.050815039168367444,-0.01807213758561494,0.22170649809607088,-0.03329520891497756,0.026534672047223096,-0.3562139155370788,0.47911087450571666,-0.1543537940987014,-0.21744563606409897,0.22969342877397397,0.26629379173892875,-0.05567822978676644,-0.12651884414545675,-0.37575999128311666,-0.26497584586853407,-0.17862650962625948,-0.09861615515315958,-0.00778899432383999,-0.3061583427354699,-0.38023631474024444,0.29473996246444656,-0.5596321951007803,-0.2942947252864267,0.26043988868348666,0.04514024936636869,0.29040097169678286,0.19271871081503406,-0.015436672042212286,-0.4299793180476673,-0.0987413104213913,0.08753140110005403,-0.4438367311381635,-0.16745303609125523,-0.18174656977763443,0.17784517285485754,-0.2075300116414409,0.0067219846075823875,-0.2294976668185206
city_steer_median_mean_over_windows,-0.0961723393021648,-0.17208236688939868,0.6265078634149994,-0.014159353530919938,0.0826931940551982,-0.035002481145263074,0.19867860259429224,0.10375441690909173,1.0,-0.23748108532364276,-0.5801291113078417,0.4581278581080629,-0.08709300242024948,-0.0418293168393482,0.22862048434579835,-0.04759142105675333,-0.2015093938880804,0.013554191726781198,0.06678886972672239,-0.29089451424549817,-0.13885986640873196,-0.4229848507932808,-0.3395299662805348,0.179450757225329,0.13975890341956662,0.14950891389842916,0.18526664403071605,0.7407068396918255,-0.36616293361824076,-0.12382361731712364,0.2228847301444998,0.22206366298791175,0.010974142038945544,0.09592936994186588,-0.11433008724986979,0.017768706375770636,-0.18333787760295397,0.00795300021133598,-0.047437426093412234,0.22864804428480504,-0.19677671641450956,0.36355205142452357,0.12930435348908004,-0.04773038976839975,0.16430295458176902,0.07145563195835948,-0.03388548078160104,-0.03661112603551412,0.1255977785037864,-0.054007489603074166,-0.1924053501805256,-0.06636600024222887,0.29156525989918586,0.07549772538759482,-0.1972954762480816,-0.08292505314010983,0.3277713021641483,-0.11193264107321171,0.10079530605180075,0.0798004506533825,-0.0545410875098363,0.029601185501446373,0.03704993708720552,0.17870811602240855,0.1453306063053356,-0.015148404690041492,0.17630810736798658,0.11802713214144302,-0.07440320332988117,-0.15534751471545444,0.2393867944953671,0.0666062936771059,-0.18575352913931925,-0.1295746945123635,-0.22643223401611026,0.33122876256367545,-0.3249903102506726,-0.3133640687043489,-0.44174440363585443,0.25249843187260723,-0.1549692856063059,-0.07293266797684923,0.04895734480977556,0.22260967584394226,0.0872296524926762,0.2060101531442651,-0.4024815634018759,0.1169103034156653,0.007603078076238621,0.08493841478759276,0.14793558237907503,-0.3496523112873832,0.1540134888131227,0.3043046760839611,-0.14725844169566343,-0.06634845428601308,-0.0936191611819464,0.015463039626463664,-0.1086735249013615,0.4077796236712582,-0.3079160778765681,-0.10573315884906673,-0.0004886649063031004,0.18081481206754066,-0.17820871743536204,0.15806359175961238,0.17947918243453123,-0.15509300587901928,-0.5627329510843642,0.3545181511610068,-0.29175027446720925
city_steer_median_std_over_windows,0.002647042626942385,0.07765643810098771,0.04992858987348623,0.6753566346796883,-0.1274044235131451,0.02911252990638936,0.07983691186714204,-0.08558981825306963,-0.23748108532364276,1.0,0.4925441488466838,0.4695910473134853,0.2215229951359016,0.04708767599469611,0.2729897970271739,0.2396825792853459,0.40342610313180277,-0.1380944026054138,0.08014229209687908,0.20022777297819747,-0.16380356120528086,0.5183794028698562,-0.27936781924050347,-0.11562096108821247,0.00024670673285862304,0.6399956412372539,0.26357152934393746,-0.089129135950607,0.5407046098593128,-0.07199036624851422,-0.22597932985651584,0.0008864891333645133,-0.00039520313778239373,-0.06763362216595539,-0.04790901647366882,-0.20339679179145034,0.27291448330150403,0.0812028164173539,-0.16529178986807885,-0.10087736567826548,-0.021925737226074254,0.20243487347114308,-0.09328430253710641,0.24760822675276473,-0.2611368821205476,-0.024163932165719937,0.10735289570374483,0.16512720815909382,0.27910018654506247,0.08203421751542463,0.2581610537273237,0.23990074872358788,0.10385104220979267,0.1571643724866407,0.3438055705102822,-0.40618585582061734,0.4130090842602268,0.10655079126394297,-0.12196442080049982,-0.05689993957269586,-0.012815861664129964,-0.14009052290270677,-0.14952599373626688,0.056262692246086064,-0.15353565854810006,-0.052202093190901126,-0.15629634704763432,-0.1508413404839299,-0.23236908471438583,0.10204334826874299,0.006113729519159876,-0.23518306995589836,0.09952774929098092,0.19643415013214696,-0.014326585295074613,-0.24109128211510972,0.025503264713721954,0.05628712912799526,0.312099580657339,-0.2551993136772748,-0.007845630887759561,0.18641413775613633,-0.2071872973972952,-0.11356187470214421,-0.12854371166268783,-0.09582976299076036,0.06156080211667095,-0.07265566175692804,0.15927690235942157,-0.2852670635323825,-0.2278339231704325,-0.05878772432451694,0.24358705007670584,-0.05797661832831851,-0.09025665004690507,0.161198636802377,-0.09937413337556045,-0.154298794395924,0.11229741944825097,-0.3324438009227088,0.06617995120752718,-0.1644155976168556,0.0823531003531696,-0.0907430950315685,0.06591346970313652,0.017042158165985605,-0.10035497536372637,0.012099241389841043,0.19235434173970767,0.05697674868476506,0.217735994735722
