,city_n_samples_mean_over_windows,city_sampling_rate_hz_std_over_windows,city_steer_mean_mean_over_windows,city_steer_mean_std_over_windows,city_steer_std_std_over_windows,city_steer_min_mean_over_windows,city_steer_min_std_over_windows,city_steer_max_mean_over_windows,city_steer_max_std_over_windows,city_steer_median_mean_over_windows,city_steer_median_std_over_windows,city_steer_q25_mean_over_windows,city_steer_q75_std_over_windows,city_throttle_std_std_over_windows,city_throttle_min_mean_over_windows,city_throttle_min_std_over_windows,city_throttle_median_std_over_windows,city_throttle_q25_mean_over_windows,city_throttle_q25_std_over_windows,city_brake_mean_std_over_windows,city_brake_std_std_over_windows,city_brake_min_mean_over_windows,city_brake_min_std_over_windows,city_brake_median_mean_over_windows,city_brake_q25_mean_over_windows,city_steer_abs_mean_std_over_windows,city_steer_abs_std_mean_over_windows,city_steer_pos_ratio_mean_over_windows,city_steer_pos_ratio_std_over_windows,city_steer_zero_ratio_std_over_windows,city_steer_signchange_rate_mean_over_windows,city_steer_signchange_rate_std_over_windows,city_throttle_active_ratio_mean_over_windows,city_throttle_zero_ratio_std_over_windows,city_throttle_active_mean_std_over_windows,city_throttle_active_std_mean_over_windows,city_throttle_active_std_std_over_windows,city_brake_active_ratio_mean_over_windows,city_brake_zero_ratio_mean_over_windows,city_brake_active_mean_mean_over_windows,city_brake_active_mean_std_over_windows,city_brake_active_std_mean_over_windows,city_brake_active_std_std_over_windows,city_steer_diff_std_mean_over_windows,city_steer_diff_std_std_over_windows,city_steer_diff_abs_mean_mean_over_windows,city_steer_diff_abs_mean_std_over_windows,city_throttle_diff_mean_mean_over_windows,city_throttle_diff_std_mean_over_windows,city_throttle_diff_std_std_over_windows,city_brake_diff_mean_mean_over_windows,city_brake_diff_mean_std_over_windows,city_brake_diff_std_mean_over_windows,city_brake_diff_std_std_over_windows,city_brake_diff_abs_mean_std_over_windows,highway_duration_sec_std_over_windows,highway_sampling_rate_hz_mean_over_windows,highway_sampling_rate_hz_std_over_windows,highway_steer_mean_mean_over_windows,highway_steer_mean_std_over_windows,highway_steer_std_mean_over_windows,highway_steer_std_std_over_windows,highway_steer_min_mean_over_windows,highway_steer_max_mean_over_windows,highway_steer_max_std_over_windows,highway_steer_median_std_over_windows,highway_steer_q75_std_over_windows,highway_throttle_mean_std_over_windows,highway_throttle_std_std_over_windows,highway_throttle_min_mean_over_windows,highway_throttle_min_std_over_windows,highway_throttle_median_mean_over_windows,highway_throttle_median_std_over_windows,highway_throttle_q25_std_over_windows,highway_throttle_q75_std_over_windows,highway_brake_mean_mean_over_windows,highway_brake_mean_std_over_windows,highway_brake_std_mean_over_windows,highway_brake_std_std_over_windows,highway_brake_min_mean_over_windows,highway_brake_min_std_over_windows,highway_brake_median_mean_over_windows,highway_brake_q25_mean_over_windows,highway_brake_q75_std_over_windows,highway_steer_abs_mean_mean_over_windows,highway_steer_neg_ratio_mean_over_windows,highway_steer_neg_ratio_std_over_windows,highway_steer_zero_ratio_mean_over_windows,highway_steer_signchange_rate_std_over_windows,highway_throttle_active_ratio_mean_over_windows,highway_throttle_active_ratio_std_over_windows,highway_throttle_zero_ratio_std_over_windows,highway_throttle_active_mean_mean_over_windows,highway_throttle_active_mean_std_over_windows,highway_throttle_active_std_mean_over_windows,highway_throttle_active_std_std_over_windows,highway_brake_active_ratio_mean_over_windows,highway_brake_active_ratio_std_over_windows,highway_brake_zero_ratio_std_over_windows,highway_brake_active_mean_mean_over_windows,highway_brake_active_mean_std_over_windows,highway_brake_active_std_mean_over_windows,highway_steer_diff_mean_mean_over_windows,highway_steer_diff_mean_std_over_windows,highway_steer_diff_std_mean_over_windows,highway_steer_diff_std_std_over_windows,highway_steer_diff_abs_mean_std_over_windows,highway_throttle_diff_mean_mean_over_windows,highway_throttle_diff_mean_std_over_windows,highway_throttle_diff_std_std_over_windows,highway_throttle_diff_abs_mean_mean_over_windows,highway_throttle_diff_abs_mean_std_over_windows,highway_brake_diff_mean_mean_over_windows,highway_brake_diff_mean_std_over_windows,highway_brake_diff_std_std_over_windows,highway_brake_diff_abs_mean_mean_over_windows,highway_brake_diff_abs_mean_std_over_windows
city_n_samples_mean_over_windows,1.0,0.1369680927645664,0.1320277922582582,-0.17441464299751488,-0.06056118371810955,-0.13787136210972903,0.21717349332289007,0.29588744007968215,-0.3567643471571444,0.07896081846216725,0.09371415560857677,0.352574711152647,0.09426774655624554,0.09024398236164556,-0.21308306765707244,0.0644710487148473,0.049081044747396704,-0.09699803744656668,-0.24234643044166723,-0.14944860580555594,-0.38967661373825235,-0.09146734661383567,-0.3642766720827593,0.1777643936946257,0.0625783772663138,-0.025956130622225005,0.02453902148031449,0.4007592589956556,-0.2520360004072432,0.186423843934243,-0.09734657681582115,-0.26274782169956384,-0.08530202232933393,0.3351143881332703,-0.13910890748538432,0.04890703205129631,-0.07222054689965268,0.07844563214337226,0.409873728802717,-0.03829034210519828,-0.17424315857895514,0.20302153883165666,0.035305242871390516,-0.11783725596707924,-0.3782530758719779,-0.0656027505340487,-0.2616445599306882,-0.30658236570907776,-0.11584468757987859,-0.4274673525892864,-0.06898692099606106,-0.13794636287255704,-0.18745000374085355,-0.63989061784424,-0.5478519382909129,-0.40452843259132654,0.05379462012220415,-0.11480734173867121,0.3024566960757143,-0.27736920023397704,-0.13610887957678522,0.005443315257423013,0.17335461928968968,0.08605412502780066,0.09290931930651437,-0.271525373025053,-0.08954172613589667,0.1455371134096703,-0.24218311023273625,-0.1477268924203853,-0.20910687032051808,-0.38363967965323054,0.3520851736876136,-0.20104725492940434,0.553002445946372,0.02393922015523618,0.08218550205272451,0.0036787229778057727,-0.3283305519301754,0.032642909021835954,-0.44345233078672375,0.1214610046730145,-0.06906781861164667,-0.051261537280296934,-0.14961753320744997,-0.1809202363814955,-0.24139309831458144,0.14821122643244147,-0.1291435360247647,-0.07682308493555276,-0.07804137317697528,0.036537024955078,-0.41267802248536234,0.08306592216706987,0.19166255725473968,-0.32775421635782676,-0.17762289498035805,0.09130597468246965,-0.021918150233485506,0.11122824813895191,0.07217237272506728,0.12259718780962091,0.15659079643713159,0.015363511902378854,-0.026737347044118644,0.11749543466187805,0.16487169237443444,-0.1576438112593948,0.016764448206869183,-0.31017668480454086,-0.02170509952432922,-0.21258447498232338,0.18082411631748982,-0.021417368545354566,-0.5273907842845208,-0.07215321567061962,-0.3113859784948298
city_sampling_rate_hz_std_over_windows,0.1369680927645664,1.0,-0.395142077634206,-0.15814196305398193,-0.12384777405813353,-0.3200767107922818,0.16186733196098463,-0.21412079092110572,-0.053483203678994305,-0.2331487306408277,0.06711752640360606,-0.0653070831357617,-0.1572343698194917,0.6689859804072761,-0.4984033394418629,0.2078416653819513,-0.15446138473453327,-0.2495744430183154,0.20674287364348448,-0.029459522508605417,-0.13976424155094339,-0.1781144513639209,0.011788599404062234,-0.07181861077499638,-0.21973278015883052,-0.05031309363354964,-0.2746344395283662,-0.2887930916237549,0.3673350121835474,-0.0940384447077186,0.13979487030952414,0.5162460097537267,-0.6677448174039233,0.3804894508822903,0.3235904240850386,0.3943540247554483,0.41900113080485435,-0.1006231587422308,0.3619088017575168,-0.39297951859919616,0.05743822600534746,0.3783632215549894,0.055043963687345564,0.11107876176458734,-0.24093479166368473,0.05797396287653275,-0.09905353231911386,0.5325098809944185,0.42993630940717426,0.39006765825006035,0.16477652835587658,-0.4021181123030469,0.353333393493312,0.05005673224556143,0.2500508272090947,0.16155923771444228,-0.35132319174157756,0.18871655456939893,0.2243747950391449,-0.14509863100759537,-0.14951996327929004,-0.19234513070772985,0.1073230333775868,0.1416936688442401,-0.18581170137535244,-0.1424942403434502,-0.0779668647942561,0.255265801083793,0.07352650901977838,-0.3713450625190296,0.006612756249639314,-0.6089866171337658,0.4784611681838526,0.03801834239638872,-0.009079608446983986,-0.24037556941997415,-0.19556661707485787,0.4022974762031478,-0.26442077895044985,-0.3606160933978602,-0.23420519389146655,0.26475980530793314,0.027358901796481053,-0.18861987376852932,-0.09599235599439401,-0.21495980459856565,0.11312719215628879,0.24100717307726818,0.2877269381391956,-0.4970890301692204,0.2691863026688995,0.7285479452551128,-0.24105627425115533,-0.16956494220786464,0.3438082812475089,-0.1207626967127678,-0.3281753827583532,0.024741908185975495,0.2796959757649452,0.14343224428990373,-0.30732814397879543,0.1531144947217111,0.05615325806987408,0.06471928720120178,0.20354526093398004,0.4913700837909813,0.6241904730308807,0.1824643392107912,0.3237949690290115,0.06150808249693791,0.29625207934922854,0.14371768979766422,0.08054554333285836,-0.16452471345671166,-0.08448682971600614,0.2860953951451715,-0.030944906402847444
city_steer_mean_mean_over_windows,0.1320277922582582,-0.395142077634206,1.0,0.10611004230340092,-0.1397374371272428,0.35510056475141905,0.020682892356576353,0.761310644164777,-0.6626439004672369,0.7696792307738438,0.003938369838335694,0.5442663290450991,0.647141177858031,-0.3562087777444341,0.04551664452492656,0.15131684016067543,-0.04674671321720615,0.03764565804183695,-0.26086046743912955,-0.1934199186685884,-0.21601989526116494,0.13750293733970712,-0.1651620666935896,0.08619931011881758,0.2970506164638402,0.07285298106833112,0.7279489729777202,0.7865886236679921,-0.605242900169429,-0.21812513359226882,0.09721866944629534,-0.12326495281345315,0.005369357910519541,-0.07662725452093698,-0.32750944946464194,-0.06785217431292362,-0.46687749021155006,0.21400835730676848,0.1415136197249005,0.22670017792164684,-0.12888252892094382,-0.10634607769501128,-0.029082210505513982,0.4195866088644811,0.15565803240663462,0.492405215786891,-0.07645855332668558,-0.2536664903232895,0.014444088343503797,0.1509149283363983,-0.004252737452289366,0.08735410712834503,-0.14637783731576254,-0.30958554169425806,-0.20059476302296825,0.10044370129333642,0.4910852091571286,0.1409005573798534,-0.03339431178325967,-0.0037334372366812723,0.21650068097454175,0.1574714193192233,-0.18613428828537115,0.0830358741850891,0.27187033716479825,0.01303030680105717,0.07284659725598969,0.22545548306700103,0.07855733230138798,0.0021326318138608054,-0.06813814125519674,0.07121364492661603,0.10776601893052501,0.12953056736831448,0.05974931611596384,-0.11414694527448431,0.16156502075849033,-0.03912993811776439,-0.04020851822111963,-0.024151017110516766,0.13720375560631068,-0.22072824567675053,-0.1384934667427219,0.00041904844432842485,0.039480597851971055,-0.12270525568529231,-0.02002939364251594,0.03129518289981081,0.03455790533866457,0.1765290799074667,-0.06367780613936,-0.16097484924464817,-0.18738717224603746,0.37867657004406297,0.09507941770277407,0.1292659558372355,0.024623955105596326,-0.07215952519128727,-0.13399295108077625,-0.2928230928710545,0.37764948347219807,0.17856473324527827,0.07925696416647375,0.3569435926289316,0.03799526059681467,-0.1440388020053023,-0.18211236464103314,-0.16129106210522243,-0.24789362253736355,0.13928914711330528,0.07907278199298634,0.1320988257333251,-0.20100138912600765,0.30859902360695785,-0.11106809325266767,0.2503710909437124,0.16915756823440287
city_steer_mean_std_over_windows,-0.17441464299751488,-0.15814196305398193,0.10611004230340092,1.0,0.05493179120375621,-0.1468988477093951,-0.16105042911611628,0.08451307070565342,-0.09390671034431931,-0.02295981461819627,0.644919116845831,-0.46795554535872197,0.560961308317471,-0.19552232228072952,0.4225160345828639,-0.01530309432820469,-0.055936479622656174,0.292679662281967,-0.18921660372864627,0.267573812996353,0.3107006050157527,-0.31577625300967926,0.4127007860268342,0.01080443606214657,-0.034820775503174826,0.5715632734365328,0.49934993855387394,-0.06703541653357982,0.36985308475594225,-0.12555211342770525,-0.15927130318039198,-0.13354485073098565,0.37119996439800634,-0.23934010511714474,-0.08539237584256772,-0.3037054101146105,-0.00668724428266228,-0.08544530243927626,-0.16666438826972624,0.11033813767160534,0.39635208724889565,-0.1409704711837162,0.41766708368949707,-0.019699751467320198,-0.2294855375156079,0.22816503718724343,-0.1734099890014593,-0.20103370925046385,-0.036862425155730405,0.06282635743139815,-0.3352137068007173,0.35238168719317126,0.2507420839111691,0.09725981574644493,0.14767494107201665,0.11509007221155891,0.43844072263028655,0.4082667662920217,-0.1379479891367785,0.07132568376205284,-0.08678135642349614,0.21548410090081882,0.15208956670631768,-0.21884096390918573,-0.19963004950091762,0.21764768920575328,0.13758830469081199,-0.17846516576021848,-0.09848653360800029,0.23249432194123199,0.32696326458147545,0.3378312122727423,-0.3123807099939913,-0.18340358400876514,-0.25103772237645067,0.3875013456298141,-0.22001050856985507,-0.21953930653598716,-0.0505552984393547,-0.050941244961013675,0.148444436512382,0.11933701619145483,0.30122139354695443,0.025763862861743224,0.0348035147140904,0.08545820351756118,0.22495967723111157,-0.0668845074891244,0.005300454263471048,0.37436779296039996,-0.3566534252418696,-0.21035992330076295,0.14398751075196461,0.048752721450981015,-0.20690296059025212,0.1587472817681811,0.28132479813741806,-0.33337758223198083,-0.18830080625706774,0.29353209939002295,-0.05031136593222058,-0.47911006831612946,0.013636003605689772,0.4304248685267647,-0.2621000931217109,-0.2771410082022547,-0.22884562969994554,-0.28465035216699913,-0.304448842822441,-0.11639629093949039,-0.051750375869210545,0.16521819504102672,-0.22895019969629052,0.13149006583833725,-0.11144418036869955,-0.07032391749958047,-0.08735559579438727
city_steer_std_std_over_windows,-0.06056118371810955,-0.12384777405813353,-0.1397374371272428,0.05493179120375621,1.0,-0.35527078929778655,0.32157671417896594,-0.38030556573637575,0.568326322646085,-0.0847167434219438,0.0938252822876625,0.011098225084435937,0.1596730520813677,-0.1620770239891085,0.27825591731677984,-0.18873180144432983,0.07466024227964717,-0.050733957142384,0.30268654855084587,0.28097820995823813,0.0460019731802196,-0.2575477310317989,0.15125549558273182,-0.37409103027353996,-0.38769654424839184,0.5911723714152116,-0.10474460201415718,-0.2915349451166761,-0.04243629016417197,0.18210475776778523,-0.3494837835904936,-0.08989265535172024,0.2231643925662779,-0.11927402619822274,0.16912328842835098,0.007086346321574052,-0.0015769634632047645,-0.10742922953531217,0.07491114583922771,-0.4571672595827136,0.40336432574097053,0.28064058737400144,0.044953858139063496,-0.4493130110499366,0.3817293446793738,-0.43078363799436403,0.6770568297056756,-0.03316304443696271,-0.1883375098929044,-0.2504441847545367,-0.3472515067518618,0.1925439611892274,0.06746975220291027,0.022764545826099027,0.2105166101665192,-0.3547677068809053,0.32889096682155167,-0.11489944273919334,-0.22847247403802615,0.30842262121647324,-0.16749243536512312,0.31807184750785555,0.14729787505869887,-0.31972884704901156,-0.15126574949712418,0.11389788974115053,0.09365085589490253,0.038249887712573254,0.2019873210304301,0.08782036995131902,0.059379868161988626,0.15034124248849118,-0.14018659284442964,0.1418263736000598,-0.09331505643235627,0.27993185161536305,-0.14193268662628047,-0.238655751985347,0.10803914316942585,0.27359270352800114,0.11908746904496961,0.30080876025443765,0.1724488486580989,-0.1264845107600546,0.016154706791191274,0.17427708085206242,0.12560700024086663,0.31925142559946473,0.06133531612136643,0.0006508872391733294,0.17965619534672753,-0.2063859444542431,0.3531357494037638,-0.12511979581584995,-0.2839119028598052,0.11919372950988517,0.25640388789658247,-0.07999204061547242,-0.08076113348314251,0.14447649590169895,-0.16983537704562213,-0.16368523874460433,-0.01773365556745192,0.06777556501719477,-0.35632581908520955,0.10049400099625536,0.08857027510030122,0.08572978726149964,0.36200034874638115,-0.09062688151096458,-0.026850392372597346,0.04320189047736828,0.21900939062445376,-0.35902696298828873,-0.05324914362333334,-0.06986855350168578,-0.08084193805887482
city_steer_min_mean_over_windows,-0.13787136210972903,-0.3200767107922818,0.35510056475141905,-0.1468988477093951,-0.35527078929778655,1.0,0.04867324956663286,0.18218312838164125,-0.25970979664450083,0.2544823045466977,-0.32609796777859057,0.0713568976644112,-0.17031102226073735,-0.06692412773217446,-0.13147540535862154,-0.14564536235242176,-0.11125861774518854,0.0008723196363327433,-0.03887398241293368,-0.2378821595124868,-0.12949685585779866,0.1855861093712774,-0.26755193549587264,0.06588485931064092,0.24840870748603724,-0.4121036670560868,-0.014707486902241206,0.36889464463486954,-0.2840821606324543,-0.05643802096358693,0.15152619983504612,-0.0691219942169803,-0.09639167028431042,-0.09734385497416344,-0.09246548783719191,0.12880903709588334,-0.07160213675534771,0.11851058720270403,-0.09481143409941077,0.22330314311741087,-0.00588324047138677,-0.17868864257751704,-0.04224292929512194,0.15795782693475735,0.24825460133366423,0.06716227173638993,-0.14765331084898858,-0.21941607196361118,0.1874749762472223,0.033683986577283345,-0.07430247497904963,0.20671032356931618,-0.07046699383889977,0.010050769559788137,-0.1201930417258909,0.13751971025067858,-0.24363470775578486,-0.316628260176015,-0.2060607631052992,0.23918206667234396,0.34764386123822555,0.07151391884673387,-0.26947004205752706,0.26660609416248326,0.10786936492543901,0.19267955160189484,-0.05474217318360754,0.04188811917053574,0.10828650162585093,0.039650564056803804,-0.14223878921312283,0.12241419156737214,-0.05676587638390792,0.2431513107534644,-0.19820357709359274,-0.302367424058726,0.3874247361216651,0.009669724763404552,0.28038077656721044,-0.003919965455737377,0.15214678961528397,-0.5544257662308403,-0.27823165395679117,0.3511247179362947,0.27258969221238716,-0.04383925530869223,-0.09128815374731446,-0.21024805703297844,0.039218287927459294,0.03453733319604311,0.005717381820175074,-0.2214447932294966,0.11216188236970748,0.12954642502616992,0.048797644700706744,0.14932860416701918,0.006415522164707626,0.10014855824266428,0.05223048701996261,-0.4677647249234223,0.5002300018265836,0.15945044653228493,-0.27262893253284226,-0.043099921280113536,0.2964250391888297,-0.19991394754525613,-0.1491191336007377,0.0240251252518349,-0.009595445182541339,0.47760534377577185,0.1337236200131369,0.2813436136165677,-0.01524523115668708,-0.036181546452541624,0.2548754307970782,0.05173621593097027,0.2475564852358931
city_steer_min_std_over_windows,0.21717349332289007,0.16186733196098463,0.020682892356576353,-0.16105042911611628,0.32157671417896594,0.04867324956663286,1.0,-0.020615935719774794,0.02171153044945188,-0.04059914415607963,-0.09648605707729638,0.14508112584082783,-0.06851439478433777,0.07354677840731963,-0.07817528117955751,0.17111767719256094,0.08645934345783361,-0.16855609942920646,0.10869167334084107,0.1725426022065059,0.0038129973876551036,-0.125079701936496,-0.04355572270171803,-0.13247409448866934,-0.14461391575009375,0.017452702914526223,-0.05638460081914817,-0.04186797002918957,0.11282387338422746,0.003588102926904779,-0.17711370535685095,-0.03762813841758759,0.0793384655255684,0.05731296599715554,0.1693477926433594,0.03491828607258204,0.07733634239634475,-0.12420648149937892,0.30061031090364776,-0.26368599971484136,0.08940314160745891,0.32150274657172884,0.10340001249786364,-0.18896133476427204,-0.012783783312723155,-0.3111252043328958,-0.00017404006196469364,0.21574596161574505,-0.02665998297671364,-0.2340019760320504,-0.14166594080838257,0.03291634771615418,0.026464450954402176,-0.15954659792944437,0.01816854513134858,-0.2934050310281753,0.01327358933675866,0.17977751186874183,-0.2343968093442742,0.357663691401301,0.0012530072477406147,0.47849700908606996,0.24505795760452348,-0.07609553807144456,0.006298653547431199,-0.06250074162556715,-0.2895420951343409,0.20181791747871455,0.20490107278377867,0.33307172561987364,0.2644092024854169,0.013384422823997648,0.014302487013765446,0.21099618098085318,0.0477867929011573,0.07869888162055785,0.11970616803484736,-0.25086738461301145,0.08445341331208821,0.4582517418798955,0.05569328111195579,0.14136886248178668,-0.3365335784580515,-0.04414127942671978,0.1090115083270495,-0.1658379988020574,0.2807513648697932,-0.04437384448038476,0.0964388085336152,0.24148832067581624,-0.07126649553982645,0.07490358778248188,0.014379575905755409,0.14551496093748684,-0.25367092691802356,0.18988169725860365,0.07440926250919368,0.07708042679029367,-0.08012632946698409,-0.008231907983088982,0.11175917018296241,-0.0738449822712263,0.2539015224844649,-0.16857611279252951,-0.26602848299829446,0.2230025039836861,0.008391408576184655,-0.13478420749192246,-0.0578732111933419,-0.02342325446546241,-0.22255416493319405,-0.04705003254811134,0.4871512400532193,-0.4916990901920868,-0.1324327594750969,-0.26038505751489754,-0.2387888367846187
city_steer_max_mean_over_windows,0.29588744007968215,-0.21412079092110572,0.761310644164777,0.08451307070565342,-0.38030556573637575,0.18218312838164125,-0.020615935719774794,1.0,-0.8162826658334917,0.36922864106775266,0.06478056010900049,0.2945518457738184,0.47179730535709324,-0.28724145921787136,-0.023825447666401975,0.27180440788346494,-0.16884615233662834,0.19465366212158627,-0.5211462948740043,-0.3373914052824579,-0.12216274588041234,0.19450948042275265,0.06752168389037504,0.41052351217618993,0.47212117010194316,0.04200479069244859,0.7837170014466254,0.6006449142995698,-0.46464754544032016,-0.22164877193247845,0.13802345717969308,-0.22376717377865443,-0.07285769568002261,-0.03727161299543964,-0.4654230179841331,-0.17406976239963853,-0.4937286284916191,0.24435877358019814,0.05959675436713203,0.4356163083399901,-0.42847311030889645,-0.20211209214968232,0.049673077148974364,0.5994987476024668,-0.010014674879689166,0.5928571276257142,-0.18981758573044238,-0.3503573490211187,-0.044631014259632375,0.18953224594337678,0.3867669337652729,-0.26155681611776493,-0.3086609047258021,-0.3040377155637645,-0.3611052729561838,0.02111722296457928,0.26213919408688163,0.07607412478567344,0.04621978550412566,-0.037654382215666936,0.20680059119576114,0.06936184456665832,-0.06626729081283446,0.3078985607386036,0.47286975651573804,0.013340984787128474,0.019297634281946297,0.11189932912406911,-0.05560895129607717,0.12784188147036163,-0.20834835111786446,-0.002487520438188991,0.08279492099010011,-0.0379930302862953,0.1498842945659533,-0.018103585214489192,0.10066484971401184,-0.12287634781072374,-0.08013604086428651,0.024816424559983744,0.18084222586614873,-0.16695072968779545,-0.06821277958119364,-0.0055482475024014434,0.06183103151503457,-0.01846729764119332,-0.08045102514075533,0.15008425560727845,-0.20371716011192303,0.22353138973353948,-0.30084291508977,-0.10822681943658882,-0.15955783745779756,0.3564493072395673,-0.02008071047473178,0.12881679073915941,-0.04951776027338603,-0.09510747836679685,-0.26718876459870655,-0.10090875046016468,0.27131334313002264,-0.03898833002810527,0.16775942469437036,0.12269655697076985,0.19529694656768115,0.00683236728836918,-0.03888159920746084,-0.36553252661016544,-0.4447255204069808,0.034187769200105494,-0.08187629396811293,-0.04053515050249021,-0.16492634620006072,0.42066290576341675,-0.1815225516278594,0.011665279852816932,0.01294967219301974
city_steer_max_std_over_windows,-0.3567643471571444,-0.053483203678994305,-0.6626439004672369,-0.09390671034431931,0.568326322646085,-0.25970979664450083,0.02171153044945188,-0.8162826658334917,1.0,-0.41810536340739396,-0.03796052572057261,-0.21783563597014238,-0.4529956291138813,-0.0870413733729424,0.2141837074136492,-0.19873197526902717,0.04214855635788227,0.05805228849268962,0.29831493040120644,0.234097421610715,0.16736733050207184,-0.09824665968062482,0.0807450193301471,-0.27535332719568995,-0.32348820794464683,0.10037616463647014,-0.6633691043878736,-0.5971309681386014,0.26896730170303995,0.19328849126550543,-0.1373215197211412,0.05423365284033989,0.29323628584217826,-0.19758753088933673,0.17948259482936138,-0.06980423028145769,0.11891081324510962,-0.17371414851216305,-0.3138248773038025,-0.25748231841440744,0.34547015616674265,0.0024064924954781157,-0.02782817526250237,-0.6278227881354281,0.18512174821935753,-0.5985010358560712,0.45280690377020516,0.10300558640155529,-0.19929338987579384,-0.32533258665323694,-0.2582138502928745,0.3060241096830644,0.054942719189905724,0.25233630915930266,0.17931151542754295,-0.24247519628576775,-0.1952013811772336,-0.17385606880140844,-0.1742663001728214,0.22797966992129076,-0.010896641718118636,0.11194107170505901,-0.07540521309182587,-0.29032811909345363,-0.2691374841062631,0.09429734270944637,0.11966137331979534,-0.23671195079849555,-0.0006552488880589993,0.022962486299240404,-0.007167589093049434,0.22243293615803186,-0.30589240359819864,0.025688574829501685,-0.1658468482645416,0.03711625932368554,-0.0792749619526092,0.054416038588973516,0.2712942210343251,0.07938026329804795,-0.025004525828096955,0.26430436044370786,-0.0013582219930119526,-0.13906147345915798,0.12211600336060127,0.022137490117437587,-0.04964823649167922,-0.11461129463578063,-0.07476164662832553,-0.05952924584107872,0.2030528270293268,-0.14639617794376036,0.261537480016944,-0.42299033522472357,-0.043805971665174366,-0.19247929060706162,0.010297898545343062,0.18455922322280796,0.052865019451463824,0.1789530326924886,-0.3532419523768152,-0.06166414721308576,-0.00633289464673617,-0.14293148092311828,-0.19486124356001652,0.07570825417675968,0.039026053325757606,0.07933129055441739,0.22593473013640739,-0.21211702434998167,-0.050500673611840255,-0.10560760332764625,0.11837197041049487,-0.31107232964447246,0.11433990048358861,-0.07567710088928503,-0.06660842439868223
city_steer_median_mean_over_windows,0.07896081846216725,-0.2331487306408277,0.7696792307738438,-0.02295981461819627,-0.0847167434219438,0.2544823045466977,-0.04059914415607963,0.36922864106775266,-0.41810536340739396,1.0,-0.17885275596085728,0.5372771626900041,0.5598218621503485,-0.036329032505175295,-0.1455642916571883,0.2153470047767852,0.03166623532452196,-0.10934975393048618,-0.027107025025190086,-0.029240568311929352,-0.3533605764910451,0.0013847919394204447,-0.4224519526602407,-0.1575680284950135,0.0027977097720733655,-0.06335103483835623,0.3441058203052199,0.7148715959651172,-0.4626859170506728,-0.15596741414765705,0.18719772791726821,0.007172665580234267,-0.09464994463077568,0.11035453181589829,-0.03336207293997308,0.08861799127489564,-0.1912663520581125,0.05815496413539334,0.08222883062251563,-0.008491640482670908,0.09602522976537654,0.034793582879230296,-0.11122423350583768,0.15960004455520801,0.010497266131806305,0.32438785709376994,-0.16071744034233515,-0.04519046386314038,0.13410898736949806,0.13505638575207904,-0.22544661085004658,0.2602786638776602,0.05311215988487216,-0.35751413968440876,-0.09892072685532786,-0.013170782324240637,0.29798253627138815,0.2462750252734276,-0.039417700594277426,0.0037493875084648703,0.1556794732483685,0.07118139650074048,-0.1272170916539157,0.044231479701253656,0.08329791863642666,-0.14495882037321942,-0.021844841569545935,0.20383657316752576,-0.0586323022452348,-0.1294993690118034,-0.06860034917372151,-0.08732323085898734,0.2684963291224685,-0.02127258485693664,0.15945481225994354,-0.31557893845548113,0.09795342137754971,0.23392384833667704,-0.12005253101783477,-0.186013869304888,-0.20509176227129564,-0.10071228614455253,-0.20945913218566567,0.015677627464007107,0.04971690086899821,-0.1707788928233523,-0.019271013337564518,0.06682434709979966,0.20148804489441616,-0.012441853145770993,0.08487004859458666,0.06227219749716163,-0.27147210664118954,0.206405396511876,0.22293197875366313,-0.1294076299457839,-0.15472492157695764,0.0665142499043059,0.006208042643091596,-0.2741405325548955,0.170997152677099,0.32425457383918427,-0.038214211064209594,0.43221914242169884,0.02615337919610585,-0.18695462883395764,-0.12551118855595805,0.04452741322047407,-0.012464025551952893,0.014302264958829976,0.17136264013228497,0.12145739507255515,-0.15038443656702508,0.21423879502856408,-0.24549068519135203,0.39168405460123307,0.05634171603320426
