,city_n_samples_mean_over_windows,city_sampling_rate_hz_mean_over_windows,city_sampling_rate_hz_std_over_windows,city_steer_mean_mean_over_windows,city_steer_mean_std_over_windows,city_steer_std_std_over_windows,city_steer_min_mean_over_windows,city_steer_min_std_over_windows,city_steer_max_mean_over_windows,city_steer_max_std_over_windows,city_steer_median_mean_over_windows,city_steer_median_std_over_windows,city_steer_q25_std_over_windows,city_steer_q75_mean_over_windows,city_throttle_min_mean_over_windows,city_throttle_min_std_over_windows,city_throttle_median_mean_over_windows,city_throttle_q25_mean_over_windows,city_throttle_q25_std_over_windows,city_brake_mean_std_over_windows,city_brake_std_std_over_windows,city_brake_min_mean_over_windows,city_brake_min_std_over_windows,city_brake_median_mean_over_windows,city_brake_q25_std_over_windows,city_steer_abs_mean_std_over_windows,city_steer_abs_std_mean_over_windows,city_steer_pos_ratio_mean_over_windows,city_steer_zero_ratio_std_over_windows,city_steer_signchange_rate_mean_over_windows,city_throttle_active_ratio_mean_over_windows,city_throttle_zero_ratio_std_over_windows,city_throttle_active_mean_std_over_windows,city_throttle_active_std_mean_over_windows,city_throttle_active_std_std_over_windows,city_brake_active_ratio_mean_over_windows,city_brake_active_ratio_std_over_windows,city_brake_zero_ratio_mean_over_windows,city_brake_active_mean_mean_over_windows,city_brake_active_mean_std_over_windows,city_brake_active_std_mean_over_windows,city_steer_diff_mean_mean_over_windows,city_steer_diff_std_mean_over_windows,city_steer_diff_std_std_over_windows,city_throttle_diff_std_mean_over_windows,city_throttle_diff_abs_mean_mean_over_windows,city_brake_diff_mean_mean_over_windows,city_brake_diff_std_mean_over_windows,city_brake_diff_std_std_over_windows,city_brake_diff_abs_mean_mean_over_windows,city_brake_diff_abs_mean_std_over_windows,highway_duration_sec_std_over_windows,highway_sampling_rate_hz_mean_over_windows,highway_steer_mean_mean_over_windows,highway_steer_std_mean_over_windows,highway_steer_std_std_over_windows,highway_steer_min_mean_over_windows,highway_steer_min_std_over_windows,highway_steer_max_mean_over_windows,highway_steer_max_std_over_windows,highway_steer_median_mean_over_windows,highway_steer_median_std_over_windows,highway_steer_q25_mean_over_windows,highway_steer_q75_mean_over_windows,highway_throttle_std_std_over_windows,highway_throttle_min_std_over_windows,highway_throttle_median_mean_over_windows,highway_throttle_median_std_over_windows,highway_throttle_q25_std_over_windows,highway_throttle_q75_std_over_windows,highway_brake_mean_mean_over_windows,highway_brake_mean_std_over_windows,highway_brake_std_mean_over_windows,highway_brake_std_std_over_windows,highway_brake_min_mean_over_windows,highway_brake_min_std_over_windows,highway_brake_max_mean_over_windows,highway_brake_median_std_over_windows,highway_brake_q25_std_over_windows,highway_steer_abs_mean_std_over_windows,highway_steer_pos_ratio_std_over_windows,highway_steer_neg_ratio_mean_over_windows,highway_steer_zero_ratio_mean_over_windows,highway_steer_signchange_rate_std_over_windows,highway_throttle_active_ratio_mean_over_windows,highway_throttle_active_ratio_std_over_windows,highway_throttle_zero_ratio_std_over_windows,highway_throttle_active_mean_mean_over_windows,highway_throttle_active_mean_std_over_windows,highway_throttle_active_std_mean_over_windows,highway_throttle_active_std_std_over_windows,highway_brake_active_ratio_std_over_windows,highway_brake_zero_ratio_std_over_windows,highway_brake_active_mean_mean_over_windows,highway_brake_active_mean_std_over_windows,highway_brake_active_std_mean_over_windows,highway_brake_active_std_std_over_windows,highway_steer_diff_mean_std_over_windows,highway_steer_diff_std_mean_over_windows,highway_throttle_diff_mean_std_over_windows,highway_throttle_diff_std_std_over_windows,highway_throttle_diff_abs_mean_mean_over_windows,highway_throttle_diff_abs_mean_std_over_windows,highway_brake_diff_std_mean_over_windows,highway_brake_diff_std_std_over_windows,highway_brake_diff_abs_mean_mean_over_windows,highway_brake_diff_abs_mean_std_over_windows
city_n_samples_mean_over_windows,1.0,-0.10059253302968497,-0.2054918127629642,-0.13003437922515773,-0.11905532180180295,-0.6550235370797003,-0.4466718710608926,-0.13605010487775082,0.3214997232986637,-0.4562099114536637,0.3405655464808147,-0.3428191613885039,-0.14202493159525728,-0.3387323724521689,-0.35794772882751047,-0.32290357534397857,0.1755319471459651,-0.18433705662287714,-0.3653611161307104,-0.20800249821554634,-0.5041829608786826,-0.4984282364114631,-0.5145700363057459,0.12221383631742067,0.08541210009604798,-0.5962818837844763,0.15166828713612648,0.3546387941369568,0.0477811636117259,0.01999901801234656,-0.055768819348673816,0.22459581115718688,-0.5348195816254877,0.19320735518113685,-0.5011082222971199,-0.13580296402115416,-0.007277755194877366,0.3043433044826793,-0.2821410940215027,-0.28978448528651185,0.5275094611410863,0.46294540099503023,-0.08993580730415196,-0.6998178008605576,-0.2006341061270138,-0.059695708706354315,0.3179399109834947,0.09520326515310254,-0.559616967039941,0.061407926319897166,-0.41012870386136074,-0.6340697402294306,0.12747023632144033,0.2099034114489976,0.391516895956528,0.09183284762382928,-0.25988945829421417,-0.2873850652217431,0.2525711988918137,-0.2933836214130701,0.19654526536773043,-0.5047856373359829,-0.03102608747535588,0.40399716722589823,-0.42088876173158124,-0.4034995783772134,-0.3305272932662743,0.42790466105316066,-0.26805522624943556,0.2341264031730181,0.39593940753994106,-0.4206478821558122,0.009580839670230087,-0.42526931673023677,-0.008871912460894981,-0.5783793987793315,0.4073443451875034,-0.4663074424749684,-0.3284602968526761,0.2697257544114357,-0.6482395133056217,-0.06454304509030998,0.2075374663665836,-0.021734262792070067,-0.13322944653342858,-0.19271309006914603,-0.01817086658658838,-0.23292335040000092,-0.1797566957372168,0.22190984301691782,-0.49160972100125006,-0.37455611933184557,-0.11565721951480269,0.3448149212308298,-0.412740602197701,0.21828695772892873,-0.3392902827831733,-0.5158033875912028,0.15343960546400412,-0.3313296813078735,-0.41811061258235915,0.1380025733967542,-0.24392935287010442,-0.06224041670902747,-0.6696884247050213,-0.1421849037706941,-0.5641401576750167
city_sampling_rate_hz_mean_over_windows,-0.10059253302968497,1.0,-0.22198698315196966,0.3764553490701714,0.22968285116675727,0.34659975367174334,0.11925206085044956,0.13055061627111736,0.03250328541351392,0.11323814740766643,0.27625691933779767,-0.08497982127473651,-0.16830876289529179,0.2577734448094508,0.2750875364598693,-0.08337151678856315,-0.1556625628109642,0.012561221242802711,-0.04848523361792399,-0.00018164498452140202,0.07072627609894604,0.27564491038721084,0.1768858533181648,0.11650103725262748,-0.233761413867969,0.41259408376790485,0.18990255920887703,0.26672526502737215,-0.027139738942652685,-0.0053445623044424,0.33167985321770327,-0.346108353136677,0.001092290214662243,-0.17890814436328556,-0.18519620498075984,0.43438149019845107,-0.2582536013687182,-0.03247143366226207,0.1568470843875115,0.23811650953843883,-0.24921863842420613,0.18125824600125562,-0.209069341508946,0.3410430099278109,-0.05054700183072776,-0.030717977177803567,-0.2753731503060104,-0.308460152945275,-0.1275132320286889,-0.1351472398642542,-0.07048499787801567,0.14972057362530267,0.3201444693545935,0.04015967583703284,-0.16547245651781062,0.15395248658596883,0.3871833751532853,0.21606028823136908,-0.39154944181674456,-0.24450152911893205,0.13060318278362312,-0.11128179413569918,0.11241004687365128,0.021454174649509432,0.28219909735749255,0.23870211619355577,0.15331774716064597,-0.007879292476856696,0.1778289338076293,0.12569388133658152,-0.027454668705761198,0.11968537850222308,-0.2394867143170882,-0.09060638093612518,0.08679984177869676,0.291114083270448,0.0674323041649478,0.19155030997083017,0.26008295834330236,0.026859872835360014,0.07894387226923112,-0.20469871663913625,-0.18540262614184666,0.03103113632251277,0.10682933822847133,0.15210151347413428,-0.27234763709372906,0.039584648027042486,0.17768990356786937,-0.012568816922483865,0.13221681356371565,0.17395076341390106,-0.1830165591786796,-0.09713238361205273,0.021093301972807368,0.1319065740611973,-0.14897120168338687,0.20154246472407672,-0.30045221252800597,0.030575685907258135,0.09508898110807004,0.15389711244665763,0.12880911933178077,-0.0010390151076896707,0.10473365648739617,0.3196177986408175,0.3413217103716065
city_sampling_rate_hz_std_over_windows,-0.2054918127629642,-0.22198698315196966,1.0,-0.3771230102188003,-0.05066936303125577,0.08873337182182833,-0.023475106117194725,0.17790999095785398,-0.32974684494204515,0.12658431628882064,-0.2290967505429405,-0.02382420744554723,0.35983300276300256,-0.2230189666129986,-0.36603921806897904,-0.01190301981639774,0.12568459136652482,-0.09938780402021756,0.12040057649777279,0.044786452724044606,0.06447014621761814,0.012273083269655182,0.2687708319321701,-0.18054834355181715,-0.0384682811932354,0.03248918892559863,-0.26395882059597753,-0.5509668836868417,-0.10058462313190132,-0.11936275453248499,-0.47474657704973466,0.29338452960502315,0.37708853535409265,0.43871795597585445,0.609775343839841,-0.05181417879523943,0.07355201806050311,0.09646823485088446,-0.1672401360574896,-0.046590034421843105,0.0724272172949246,-0.2739688109195268,0.03703916190877316,0.04893955727530528,0.727966740084019,0.5739571453328891,0.08703424960129602,0.29487584800370925,0.3431650332534171,0.40395152749087965,0.33130260244247584,0.16662861593696188,-0.5056204046364143,0.0635712072412239,-0.31278975453597774,-0.3156169251619392,0.35452525046425726,-0.22869018512455835,-0.10310490249059048,-0.2568049565761705,-0.12175076047008718,-0.02501029045923183,0.08631154754689258,-0.10370028845301699,-0.05628657664357653,-0.0659951591598693,-0.36917358445223364,0.07705600342868409,-0.1376888338701305,-0.16662696841747685,-0.48212453240672487,0.4091430810041365,0.374637126574357,-0.12006032497567475,-0.36577358471456284,-0.13512327057152523,-0.07442876495343881,0.4225341510599725,0.17123320095427497,-0.15537966630967137,0.2703486779049721,-0.05543902479533367,0.06651647936455145,0.012751675593231412,-0.3865498279580237,0.025796173714494934,0.5809177320567908,-0.15208873580353705,-0.13265945348924005,0.19890990468174122,0.06610629720859705,0.4617723998630297,0.3933540766844685,-0.0954441318276627,0.11395262343430633,0.10340950605199212,-0.04553986807841475,0.22411153111765975,0.0987383760469943,-0.16787986204585034,0.04020379275192847,0.26473888911267435,0.037996849537355416,0.4409321124406495,0.05970641502869789,0.5046170885641496,0.5158014033580783
city_steer_mean_mean_over_windows,-0.13003437922515773,0.3764553490701714,-0.3771230102188003,1.0,0.3196094778987562,6.362827603666043e-05,0.3107456388825159,0.09858259020972968,0.6778846279290307,-0.49119717367887056,0.20646015991077352,0.39808850207882956,-0.36766898484478205,0.8360992847097759,0.26859047741378095,0.49450504485105495,0.15596778644887582,0.09619874020856571,-0.22131630699478794,-0.025524232443807523,0.1474570786949578,0.2056728395468074,0.13195239793277475,0.25331728141510207,-0.2296744371327579,0.3918052721601537,0.7305718719020221,0.6846643774497804,-0.22880009800203205,0.0808744990218555,-0.0005096474084455321,-0.09278365697451199,-0.32389104823379683,-0.2918071075351127,-0.07178040974166588,0.258936978753787,-0.15498777365473632,0.11826700111836816,0.20303054733141349,0.07518918850236467,-0.16724449403511804,-0.3713605532592654,0.5781199095611788,0.045422881376606015,-0.20800034476661836,-0.03333808594418634,0.03986291863177507,-0.2084384368365895,-0.12493002001561317,-0.03820673325519782,-0.1370491162289594,0.1771963759857956,0.5159132628444911,0.05319063275589932,0.03800023804611105,0.20421314040236108,0.0958839878681464,0.26779374513214377,0.11590098985090028,0.3522866730776456,-0.08272641526401955,0.22037376007091453,0.18701316695679218,0.006286004293062475,0.14823169546936743,0.16666849747063475,0.15646619808295795,-0.03875607003651673,-0.01571867379189395,0.00641337875684499,0.06636597471732618,-0.06149355621295801,-0.23106417353045278,0.0402539955762954,0.10505747739326723,0.32294001264641975,-0.33271198338267843,-0.057754775018311166,0.06321926603548791,-0.06424734524117183,0.10504290634282155,-0.036834400740007905,0.04852707962516982,0.21406131092779512,0.21535165851222976,-0.15901139415579166,-0.15453533945268505,-0.08109272681541732,0.19583051014628064,0.03362690299194496,0.15197099465941405,-0.2645263334008589,-0.2103934953740807,-0.27834225533512275,0.3182577864747285,-0.0503488816021897,0.18641535802499087,-0.029578809039103798,-0.049686998049264665,0.007556738618569147,0.22120909448453885,0.014332687962641833,0.2192992294729015,-0.0647481956055809,0.04310541473228814,-0.027599761891280213,-0.062017412718866134
city_steer_mean_std_over_windows,-0.11905532180180295,0.22968285116675727,-0.05066936303125577,0.3196094778987562,1.0,0.062307013959616596,-0.0693956814558735,0.04843284922575511,0.09166613410033052,-0.06567003151369538,0.10743336326706975,0.38148679007298547,0.26652770791929764,0.5159636704627932,0.309499303777938,0.20015399547955134,0.16847167852038247,0.4538499138790058,-0.10038413511172678,0.10158263057049986,0.07406050103630604,-0.3621937632765857,0.0904559967532408,0.14158209848990283,0.1774184941466214,0.3219025819617744,0.5715389062047215,0.002486249610266701,-0.21013289535507923,-0.2421803729216952,0.15093681339568732,-0.09905943910576318,-0.08033506969418751,-0.3355678899321994,-0.010810061040963327,-0.24162908808246858,0.023765824765237985,-0.03015258008901887,-0.011238446091467675,0.23233691829854874,0.040534163859222656,-0.23080971727070632,0.20134067707940692,0.1095003775088557,0.023345019983581905,0.06362919724577813,-0.079979208911124,0.3533630998432785,0.15970660277420917,0.308552613814462,0.17561380473230623,-0.044465486705462874,0.45305391188819094,-0.23027268885034272,0.06665760705708786,0.1999102573258211,-0.054908680638240046,0.2318445194891903,-0.1265138310158733,-0.08430853826498136,-0.13338286983641295,0.1336211264935309,0.03797099489461525,-0.11360122665315439,-0.1186250718586702,0.1661452875657408,0.3309255244816876,-0.3598079621289706,-0.26509956629111164,-0.30071931978409855,0.14184500388083568,-0.022556899306850595,-0.11236853402560296,0.1028590121817076,-0.28557209662354177,-0.03569168239117156,-0.09980168990992996,-0.02327569014764298,-0.2015151271561344,0.04009002558097482,0.028370142896615196,0.08847298500645917,-0.011053636271478175,0.04461368399843379,0.33151177126846976,-0.36048213918492655,-0.1973453630568161,0.15553624438891386,-0.19579403357507913,-0.13988446158465107,0.009482640947593017,-0.09566338074318691,-0.200037574192015,0.183197752286727,0.04888475484376935,-0.4868878509070737,0.04467566123626922,-0.04522868215675096,-0.2198189112199236,-0.12905991289036448,0.023169643778223534,0.07129505587515564,0.024520297824709342,0.054849458818930705,-0.033904747069870345,0.027388820899693484,0.04048749031852346
city_steer_std_std_over_windows,-0.6550235370797003,0.34659975367174334,0.08873337182182833,6.362827603666043e-05,0.062307013959616596,1.0,0.41526909495515507,0.12255853566656447,-0.4430797826698936,0.5316252577414091,-0.3641442472660518,0.2615523553964113,0.15787493925929097,0.17839405772579678,0.26073136844205,0.14000964366147894,-0.21138287027046443,-0.0005071744329027059,0.3916056777205589,0.14352857509569086,0.25203727306948365,0.45289693526223257,0.5336796767233639,-0.2128311265663094,-0.00572908518465922,0.8154784106483927,-0.30194053364837525,-0.2680093175088265,0.1702264068958975,-0.005123859779695882,0.05512297779715314,-0.241115195038484,0.5514878672636659,0.005723308310329269,0.5016856160338503,0.29918898394674254,-0.20638318268506894,-0.17652661313059748,0.12250028461733602,0.4875822086656472,-0.44837859342814473,-0.22001692580454216,-0.22814552917762554,0.8572276224257531,0.22413577538440005,0.0495009582776905,-0.2965909292368115,-0.1325111644216334,0.4821644153677882,-0.11931376927860238,0.3672278853883239,0.5309125644417503,-0.17886047001318406,-0.3440564273006894,-0.12637773524459436,0.1489971113973299,0.23769690331816726,0.22689211979564639,-0.22825955361784936,0.048763432008547915,-0.25430217121313164,0.5556699018372739,-0.24187735993867443,-0.2552922143651966,0.5144176615380351,0.4510366808019666,0.30645654559442104,-0.30988063338779204,0.4395971007462606,-0.06805925831567543,-0.4499366164568647,0.409893134460503,-0.0802067966364543,0.07347642405826771,0.10429586303236343,0.346782909644069,-0.43876212839794443,0.5267643521900299,0.48088612258844515,0.025776260327651256,0.5898114218831895,0.16827442891060038,-0.1788038348736151,0.301068920166777,-0.019825758707227848,0.3828700363995723,-0.08281477522449253,0.39408403968987393,0.21508890708763626,-0.272642257439542,0.464136766711949,0.3266493465952855,0.06661273254485349,-0.5451445777911874,0.4614080972592091,-0.02295795556994713,0.1285969824749667,0.49351737646718363,-0.08554915400378521,0.2635765750227363,0.5255630259963912,0.004740016043337579,0.39068524469179394,0.07430281207202499,0.6580207048867555,0.23705859475541108,0.5163320733836468
city_steer_min_mean_over_windows,-0.4466718710608926,0.11925206085044956,-0.023475106117194725,0.3107456388825159,-0.0693956814558735,0.41526909495515507,1.0,0.23339388009884413,-0.13964998083131278,0.2526937960982189,-0.22059939484245236,0.2859819954023674,-0.08276730605855478,0.2183724612466098,0.3375798184170167,0.036748564318939206,-0.08087619022971637,0.02136232509649289,0.0801671313363031,-0.08088815650212183,0.23461618378300786,0.49977467384958113,0.461884406962498,-0.018853135136217315,-0.2504236799179246,0.33094725401003583,-0.17225189855653827,0.12256532023592918,-0.014490838658407931,0.3151657303716021,0.044761396834905556,-0.23653319147815582,0.25126778807514943,-0.05461059532346535,0.3281262410399526,0.265313170578587,-0.29741846058574084,-0.2513944345559361,0.374125947254782,0.1915940234803689,-0.5049875703692618,-0.28260026482968353,0.07599104789756761,0.46931697410505496,0.19807506112837248,0.21866036228367894,-0.19553751750989498,-0.1803024842036877,0.3496614906350133,-0.14850037015576445,0.18780952508160803,0.7594218483655001,-0.23833327803234233,0.19849860677485393,-0.10416995336656519,0.04623735196117417,0.2884736474468242,0.1285505196549826,0.048976145318910876,0.19571577266049583,-0.025483701255241634,0.5470154162927536,0.2165806847583273,0.13715988870329632,0.558388657202208,0.4621463870322876,0.23192400306601402,-0.17994363215021622,0.5879583649437363,-0.21500151971124143,-0.46680044750356015,0.38650021493407555,0.036885980786075405,0.3836254675897183,0.03599330903444874,0.5236694036212197,-0.4309122006017421,0.4607970913114052,0.4456456898406325,-0.1173442185753291,0.5046244303293747,-0.075131976520465,-0.3157293087117079,0.375174425792585,0.06458557561360206,0.27123764214873214,-0.016601279258107327,0.19508822381667726,0.49294924519822675,-0.1057063614285254,0.5919638149775664,0.24787646053879211,0.2604830696906766,-0.6112194435981683,0.5691796074361346,0.03149042046939568,0.29422071602260086,0.45834817637705827,0.15625857872658444,0.34410968854061597,0.5486364392923421,-0.017802373777263805,0.5715398487982535,0.06627472003824371,0.5478394619838332,0.14856680501927655,0.3479753465984511
city_steer_min_std_over_windows,-0.13605010487775082,0.13055061627111736,0.17790999095785398,0.09858259020972968,0.04843284922575511,0.12255853566656447,0.23339388009884413,1.0,-0.17536465505435275,0.12135004812155101,0.23684850242918748,-0.3370694526511248,-0.1483303185934426,-0.08060072559195486,0.2326153247302264,-0.1219234624927581,-0.18443841423896873,-0.1685146041992248,0.4531719534810756,0.27742342274172177,0.12689373025456266,0.13168079502161475,-0.07160029868623272,-0.25756628816789884,0.04931316809300428,-0.055232293093926264,-0.09265078797195446,0.03542449360384123,0.16061304732238402,-0.13292335995900692,0.41995368530034904,-0.09396501834113358,0.3129144851142823,0.003893865386357601,0.12828463411792695,0.12854484969575156,0.1775106856053868,0.10558620548069624,0.00929215465287846,0.34735377476333196,-0.10267639605472555,0.06954245967926767,-0.2242348136104828,0.14770738092954838,0.11063892332898498,0.10394377382524173,-0.20306153886930153,0.02826804529450668,0.025989964237476307,0.12353346443050799,0.08008595037491337,0.2589614892699312,-0.035856262179146364,-0.049578571451557196,-0.027437556424195753,0.24030831664512428,0.5065164137724065,0.17609173691440952,-0.2677240451541422,-0.13491427018325008,0.19454587653310554,-0.14811893291679934,0.05150800811700635,0.028826613511507428,0.04170123315485068,-0.03328653045320747,0.2844889763474265,-0.28152289315611556,0.1916649146433125,0.03202741216135543,0.019395055398824405,-0.02970183344851893,0.029374832169388333,-0.07091462026453377,0.2330587615801567,0.1168654593433017,0.23572221468848892,-0.02652518007469547,-0.049336057795130145,0.17752642864170332,0.14221703393779933,-0.14051202608894922,-0.352508169049255,-0.15096196001852139,0.2997073441610177,0.08313694756712195,0.32031892048623156,-0.1979700594139123,0.20191505925067818,0.14344212637531661,0.11264623525255937,0.047569106199888564,0.195630975903293,0.12249765390941911,-0.12227244084064912,0.1400208251747369,0.17998102116880885,0.2066535305440912,-0.3503925228810226,0.07297835107689923,-0.09485525421509067,-0.1583853088536106,-0.027293020436571797,0.007749375403221029,-0.04525091883242811,-0.0359525439346571,0.017538100726391902
city_steer_max_mean_over_windows,0.3214997232986637,0.03250328541351392,-0.32974684494204515,0.6778846279290307,0.09166613410033052,-0.4430797826698936,-0.13964998083131278,-0.17536465505435275,1.0,-0.8780919448788027,0.261826049300885,0.17885592817108945,-0.2786990233350557,0.47456759383941877,-0.10429445736042862,0.2541233942517797,0.30111231631085883,0.10279830068683693,-0.4679892637970212,-0.16877017783512527,-0.03506715807431429,-0.15917341103701452,-0.16516303376241348,0.444302443894539,-0.1932695662868648,-0.08982561500640925,0.7962474149876184,0.6571088797413712,-0.2736010893297917,0.07185267662442085,-0.15232156281653816,0.08920674089435073,-0.5176760434080229,-0.07890119478512729,-0.25917892510722346,0.0664726212504325,0.029823903609218477,0.16332791744643155,0.0881612592253019,-0.3131858330558588,0.1666843561575926,-0.18558876645942615,0.601766024220187,-0.46373295506692763,-0.14376120017306798,0.0054856377654108205,0.3253062434879751,-0.11452095409604583,-0.4239752986348842,-0.04315748006949288,-0.42239884274112294,-0.2463640158723907,0.321741459443393,0.11699386836075712,0.12540164862390993,0.12271576786453313,-0.05522144859135133,-0.0635453176888025,0.27579479429268455,0.3801489835450277,-0.05404050466899863,0.017963853587728108,0.19929451247728197,0.06178109326798409,-0.15751764168381446,-0.1454115402913034,-0.1621579532531764,0.26523168372279576,-0.2540620363525355,0.22321684660339694,0.18562904496854443,-0.17177593463358112,-0.1253463958909015,-0.1393028998658626,-0.011305745876623408,-0.10970017440076918,-0.1472000053381685,-0.18551761022367602,-0.15760300937471633,-0.0028521083471162775,-0.17350050974578965,0.030184100581132484,0.3105692004249634,-0.06763167218371471,0.11598593091591929,-0.3829691889560179,-0.041305778687036145,-0.27465404758842227,0.08208906418486588,0.1340932367945665,-0.11484250723016527,-0.30081728549578063,-0.37691237613218587,0.04970696314741513,0.029763718497980894,-0.14823752242117072,-0.14401103615325117,-0.2932436986286009,0.08730355059863264,-0.21539613325661117,-0.10091769722320097,0.014806098943948855,0.046273896953136,-0.07411667845899846,-0.3442763741743556,-0.12861880024348718,-0.27373538062081454
city_steer_max_std_over_windows,-0.4562099114536637,0.11323814740766643,0.12658431628882064,-0.49119717367887056,-0.06567003151369538,0.5316252577414091,0.2526937960982189,0.12135004812155101,-0.8780919448788027,1.0,-0.1664159008968981,-0.2178318037165859,0.16330863190217937,-0.38886187531930005,0.24113255766953817,-0.19416141471785983,-0.27226499333796367,-0.022226519538883875,0.342742773520969,0.048991291549441575,0.0834355412661178,0.3252918732825738,0.3000227095535537,-0.2381863529501413,0.09042837287273973,0.15776837034639898,-0.734067851432831,-0.5049681229485417,0.11639997849943158,0.13129672582767488,0.23932802683971352,-0.251160650718902,0.3749321104026793,-0.030137364969610773,0.11761756437389613,0.05690415529781059,-0.13194364586132656,-0.3260826925797395,0.13257270600934462,0.23934972676902605,-0.3706973340290979,0.2435537212965399,-0.5634350772757837,0.5956712046692744,0.06616124618091605,-0.07652119817697126,-0.27986050231787835,-0.11707747074958998,0.33385990016686556,-0.18176049150114754,0.25818852410136894,0.3948528827695895,-0.3257898124744332,-0.07755793626876474,0.026817571166361645,0.030562526374794546,0.044219996773736,0.0894331950193435,-0.10561007149300072,-0.1931419493999333,0.23053385752119823,0.10941893410000925,-0.18762685690342273,0.016892593043673767,0.23325576232136694,0.1814962756295264,0.2749059805134007,-0.3140945613154421,0.3308490985083466,-0.3022617581207637,-0.2815393062164679,0.18329813290910021,0.1442640196385763,0.19826458496962998,0.004520873325238987,0.26887656129570725,0.12896361016717242,0.27236018063911793,0.24258311127772506,0.10393465167246248,0.2721705892386834,-0.21088075685590701,-0.3506064337108723,-0.004226940702906891,-0.03586116594894281,0.276297426187322,-0.1456787859263159,0.3854483378631962,0.01553597424741592,-0.18671091018223435,0.20841861134116374,0.3797722773036431,0.17089025072471423,-0.13007560409583607,-0.03977137811465559,0.1413645146316894,0.07609750887171264,0.5429297454530126,0.02607547613728392,0.3893434435464589,0.11993801729363573,-0.02299632311191692,-0.03592100616456403,0.060823989601791195,0.4533544714832527,0.1902054408023997,0.3067601947049561
