,city_duration_sec_mean_over_windows,city_sampling_rate_hz_std_over_windows,city_steer_mean_mean_over_windows,city_steer_min_mean_over_windows,city_steer_min_std_over_windows,city_steer_max_mean_over_windows,city_steer_max_std_over_windows,city_steer_median_mean_over_windows,city_steer_median_std_over_windows,city_steer_q25_mean_over_windows,city_steer_q25_std_over_windows,city_steer_q75_mean_over_windows,city_steer_q75_std_over_windows,city_throttle_std_std_over_windows,city_throttle_min_std_over_windows,city_throttle_max_std_over_windows,city_throttle_median_mean_over_windows,city_throttle_q25_std_over_windows,city_throttle_q75_std_over_windows,city_brake_std_std_over_windows,city_brake_min_mean_over_windows,city_brake_min_std_over_windows,city_brake_max_mean_over_windows,city_brake_median_mean_over_windows,city_brake_q25_std_over_windows,city_brake_q75_std_over_windows,city_steer_abs_std_mean_over_windows,city_steer_abs_std_std_over_windows,city_steer_pos_ratio_mean_over_windows,city_steer_pos_ratio_std_over_windows,city_steer_zero_ratio_std_over_windows,city_steer_signchange_rate_mean_over_windows,city_steer_signchange_rate_std_over_windows,city_throttle_active_ratio_mean_over_windows,city_throttle_zero_ratio_std_over_windows,city_throttle_active_mean_mean_over_windows,city_throttle_active_std_mean_over_windows,city_throttle_active_std_std_over_windows,city_brake_active_ratio_std_over_windows,city_brake_zero_ratio_mean_over_windows,city_brake_active_mean_mean_over_windows,city_brake_active_mean_std_over_windows,city_brake_active_std_mean_over_windows,city_brake_active_std_std_over_windows,city_steer_diff_mean_mean_over_windows,city_steer_diff_mean_std_over_windows,city_steer_diff_std_mean_over_windows,city_steer_diff_std_std_over_windows,city_steer_diff_abs_mean_mean_over_windows,city_steer_diff_abs_mean_std_over_windows,city_throttle_diff_std_std_over_windows,city_throttle_diff_abs_mean_std_over_windows,city_brake_diff_mean_mean_over_windows,city_brake_diff_mean_std_over_windows,city_brake_diff_std_mean_over_windows,city_brake_diff_std_std_over_windows,city_brake_diff_abs_mean_std_over_windows,highway_n_samples_std_over_windows,highway_sampling_rate_hz_mean_over_windows,highway_steer_mean_mean_over_windows,highway_steer_min_mean_over_windows,highway_steer_min_std_over_windows,highway_steer_max_std_over_windows,highway_steer_q25_mean_over_windows,highway_steer_q25_std_over_windows,highway_steer_q75_mean_over_windows,highway_steer_q75_std_over_windows,highway_throttle_std_std_over_windows,highway_throttle_min_std_over_windows,highway_throttle_max_std_over_windows,highway_throttle_median_mean_over_windows,highway_throttle_q75_mean_over_windows,highway_throttle_q75_std_over_windows,highway_brake_mean_mean_over_windows,highway_brake_mean_std_over_windows,highway_brake_std_mean_over_windows,highway_brake_std_std_over_windows,highway_brake_min_std_over_windows,highway_brake_max_std_over_windows,highway_brake_median_std_over_windows,highway_brake_q25_std_over_windows,highway_brake_q75_mean_over_windows,highway_brake_q75_std_over_windows,highway_steer_abs_mean_mean_over_windows,highway_steer_abs_mean_std_over_windows,highway_steer_abs_std_std_over_windows,highway_steer_neg_ratio_mean_over_windows,highway_steer_neg_ratio_std_over_windows,highway_steer_zero_ratio_mean_over_windows,highway_steer_signchange_rate_std_over_windows,highway_throttle_active_ratio_std_over_windows,highway_throttle_zero_ratio_std_over_windows,highway_throttle_active_mean_mean_over_windows,highway_throttle_active_mean_std_over_windows,highway_throttle_active_std_mean_over_windows,highway_throttle_active_std_std_over_windows,highway_brake_active_ratio_mean_over_windows,highway_brake_active_ratio_std_over_windows,highway_brake_zero_ratio_std_over_windows,highway_brake_active_mean_mean_over_windows,highway_brake_active_mean_std_over_windows,highway_brake_active_std_mean_over_windows,highway_brake_active_std_std_over_windows,highway_steer_diff_mean_mean_over_windows,highway_steer_diff_mean_std_over_windows,highway_steer_diff_std_mean_over_windows,highway_steer_diff_std_std_over_windows,highway_throttle_diff_mean_mean_over_windows,highway_throttle_diff_std_std_over_windows,highway_throttle_diff_abs_mean_std_over_windows,highway_brake_diff_mean_mean_over_windows,highway_brake_diff_mean_std_over_windows,highway_brake_diff_abs_mean_mean_over_windows,highway_brake_diff_abs_mean_std_over_windows
city_duration_sec_mean_over_windows,1.0,-0.2678981561518221,0.20381078089903767,0.12805181516607872,-0.026209249666629148,0.16674532689493388,-0.06446539845583671,0.24840345978418485,-0.007890365458929014,-0.009813628056527954,0.20982367934706436,0.16826041298333727,0.0006224328427404729,-0.44392548831548434,-0.4344766057850191,0.10524781162468985,-0.32471500839586753,-0.14716966070588383,0.1646331605454853,-0.11712243583606939,0.016677290898120305,-0.012777609708288649,0.15886564256669788,-0.0019523006034020325,-0.10051620254082351,0.06581314545841316,0.2615553872040321,0.2570758917323432,0.21750257177353774,-0.36420575270309924,0.5041625652993778,-0.018157868029166496,-0.1424793337102293,0.2951486434041489,-0.08021800255571448,-0.05402595728273963,-0.17956299236489717,-0.39429980090815886,-0.01298497309135195,0.2450126828579149,-0.08884410884264798,0.09255761752575199,0.03347382388694552,-0.056913258882658295,0.1853609818942928,0.04562054822852061,-0.06513063769310652,-0.12253719338995828,-0.1481234525285846,-0.24388281495135647,-0.5316940345790274,-0.27269563369234345,-0.16312348566815862,-0.1485170695641992,-0.0977110588658265,-0.10405675133512735,-0.12190940672752212,-0.4100004021708009,0.2129962494000853,0.1096833878456058,0.18683180168668692,-0.0178945969632405,0.08337257600762346,0.08781354052973517,0.031044062999275042,0.006940312850291327,-0.0347953305772496,-0.0075222813437528955,0.007208872994267394,0.17618870252776073,0.07951166957777057,-0.0790330515265018,0.21720904528657559,0.05490900146916648,-0.21745911467371262,-0.11177862251390694,-0.01304234914982152,0.043163098904872334,0.10346011199821203,-0.2188768184492911,-0.20369809066645087,-0.07149819883463486,-0.07230775104437831,-0.1136598211655427,0.019485222814725985,0.0384170740410906,-0.053863476200575626,0.345580243426684,0.1359069050318231,0.2775607313736798,0.031526621519472435,0.04950103809578284,-0.08568735738601857,0.37233571023625567,-0.15971754086053197,0.2973228093808122,0.27136319426931854,-0.34461054065364316,0.3367140711191353,-0.24588282748241644,0.19420049690836583,-0.1300689954342746,0.04884764617789601,-0.38852732478565055,-0.11838059157330337,-0.2347885144775892,0.01609509898039004,-0.06621963207405702,-0.26973355050178277,-0.2393682861784352,0.4796923647895305,-0.48196120355147243,-0.299509893277414,-0.2319737022560519
city_sampling_rate_hz_std_over_windows,-0.2678981561518221,1.0,-0.2157875952228667,-0.07034416245098034,0.09593603562290316,-0.18443203535263455,-0.1030224854715063,-0.13752326163831355,0.007113315395001523,-0.0646759397760965,0.05876224896893149,-0.2583400183737758,-0.2565906868872683,0.5111437215325207,0.24471281106878642,-0.21318814290532895,-0.15918132843457775,0.4858564125688271,0.2190303039132811,0.07410260284822463,-0.22320567620513374,0.07840681885050038,-0.1648025120478674,-0.1630833011611924,0.11683475180460906,-0.01677959950654428,-0.23193231765697048,-0.14085895409380383,-0.044210192457729953,0.10586657347626878,-0.27903104009178703,0.19728900277668113,0.13586656877488945,-0.47203905439215593,0.11596633405260838,-0.29141354497801314,0.33153188826066715,0.34012660960005714,-0.02835460503692087,0.35366969699942963,-0.2717135420658838,0.15030907757722295,0.26516810397535295,0.2256524265561567,0.4276161614094176,-0.2843263794701279,0.05979873328806432,0.16337375795704,0.09458171933242596,0.4594866363225278,0.13620578778480658,0.19762247250528495,-0.02560022499837539,0.0756169763414169,0.17920341952891355,0.036692222941340245,0.06993968175357233,0.23467255718705268,-0.2265371759963857,0.15924174254040196,-0.11004930118930686,-0.06217854503456797,0.25004091500374853,-0.04326974646878038,-0.06059101016841544,0.0981476585796187,-0.10687571228051639,0.20667004880898596,0.01407402888776284,-0.11550516757134847,-0.5467528275870295,-0.22483887443618036,0.29366470028865327,-0.1850655419553968,-0.06198186141227701,0.31135616925977727,0.029681147744909195,-0.04543940566612626,-0.3032110753932552,-0.012505164267412418,0.10620366349449818,0.22949443789321455,-0.13050300366293222,0.12414400251376698,-0.037784913586346044,-0.190190464337313,-0.05531031050496819,-0.46103870036837474,0.6707705491853506,0.008919846073857176,0.2671062253159276,0.19972473678923078,0.09835614803101392,-0.3950045235665111,0.28462568319336423,-0.11919220734082658,-0.14613522876347831,0.02629592365991755,-0.04974336189334317,0.010991075552372125,-0.13168873336438788,0.2918168501089148,-0.32812926747710375,-0.04713661721249714,0.14694949426694237,0.5225621374877412,0.35216550979702077,-0.09170048367793827,0.34184238480159834,0.18487622779250107,0.2214631086898755,0.2753308714145323,0.29703853369012356,-0.01398170776562945
city_steer_mean_mean_over_windows,0.20381078089903767,-0.2157875952228667,1.0,0.4738367035457513,-0.49372395782975553,0.8756295214577732,0.5962112311185543,0.8447649618163844,0.10240074527927166,0.6208839614524732,-0.32412912299343366,0.8856853848723482,0.5973698234669168,-0.20589168905680422,-0.05972363628677563,-0.13105238698533683,0.1019113201790512,-0.12061359439518679,-0.07778173296890838,-0.30467656517170694,-0.020814343707187457,-0.29634733095324883,0.20810147318118338,0.3206997675671908,-0.28940109828746524,-0.18087169138001868,0.7464696192770567,0.5676936953161527,0.7454688001195292,-0.7045298228972078,-0.21777684052330418,0.1985719503578561,0.09242368423633729,0.032666681956032485,-0.1325516415058929,0.04212864807299989,-0.007765779830980377,-0.20910688888814047,-0.22622309056920156,0.07686650183322291,0.19341661818380532,-0.16235161004758564,-0.01881195297145903,-0.1139213516324558,-0.13938602544023404,0.03248891736455292,0.4655080399985786,0.257404443263715,0.5146756451235869,0.07419584922338228,-0.15072669953374762,0.0070177331281295495,-0.08535793737404504,0.015709869821606035,-0.05900041475645253,-0.36027325947121697,-0.19935665648301465,-0.1746379296081724,0.49676969013206085,0.10792365777060196,-0.19120639461256192,0.2289911010295835,0.17173401723268658,-0.06117289122740576,0.23910269667180092,0.24438201484776648,-0.016217327665090143,0.11929559919264611,0.23696475289129051,0.1821656607306612,0.03995953375044171,0.11205589386273158,-0.0859561101372586,-0.05039827445922126,-0.22087736155337784,0.11303551334772752,-0.10497959513381849,-0.02342249508311997,0.3089944165183185,-0.15370555181504225,-0.12497666343901047,0.06510479102849491,-0.1378546231613248,0.009956944771368808,0.018042669429972163,0.38486038919072096,-0.26995036016362317,-0.0036707658299277267,0.027909111347311173,-0.10434136796486776,-0.005354822751114441,-0.16344492161864202,-0.2124531302427828,0.4263389257446953,0.06867745525096251,0.38343277085593247,0.09584546515142138,-0.21240983608058153,-0.23300280802286688,-0.2478837825019933,0.1640006739484953,0.20488419083299236,-0.007995580201111588,-0.14182796455970378,0.4038420106822885,0.040876684083057,0.07339236231238584,0.13663003993347989,0.1163634500636821,0.1065766887135039,0.07530606027345321,-0.1805607780926004,0.21128292542340077,0.02204328762897962
city_steer_min_mean_over_windows,0.12805181516607872,-0.07034416245098034,0.4738367035457513,1.0,-0.6673938774061751,0.484877812373294,0.23174308325471865,0.07057793382902416,-0.23202838983071178,0.402253095058203,-0.2770351070538236,0.19054541913277545,0.07767262091503341,-0.20729201784385407,-0.22232822185223214,0.1101457901538868,-0.08021227945582365,0.002579520052498972,0.16518279832664676,-0.3234137346007569,0.25923719543299895,-0.40002034210488396,-0.020631011910774696,0.13663519079408945,-0.26700972873018725,0.011946181853231425,0.1741731182714373,-0.0009763420713268901,0.4415929330302082,-0.5099531827527382,-0.019724678477069435,0.2572421966515247,0.1535845350093485,0.06081258550792897,-0.22285246426642175,-0.06018903177647822,-0.010122436272535099,-0.16216591558536128,-0.19758528402717465,0.13531999748270984,0.15326433398503655,-0.07381084517175315,-0.08721405517254795,-0.1657477797457743,0.14752156183882706,-0.2950455950291475,0.03709697847334419,0.008271257484060136,-0.09239960132232168,-0.35143662338939835,-0.24990801476318725,-0.25359739658384955,0.12978126670135323,-0.15138379902539073,-0.42129909423541684,-0.5279542192374965,-0.610359641261125,-0.025435741078658834,-0.2712279969019683,0.05910649843437407,-0.09447148981022574,0.10289560371848482,0.252519996993669,0.020432919909410346,0.08497935017770551,0.062381663060975576,0.17572638283320077,0.15032977603480052,0.02284106166657358,0.13858031174841537,0.022839709539043386,0.08006205686400314,0.08455315568259596,-0.17265682010618694,-0.022781831300259,-0.08948819762554683,-0.27003112849477284,-0.35282683634575046,0.5105344364015232,-0.051240633918648956,0.0309502828309607,-0.2710611155763916,0.08287177115322027,0.0841967630387464,0.05892981857362572,0.1555647808246684,-0.12563670704502314,0.20951445497538562,0.018789957770844794,-0.11553394749973378,0.11017067744859897,-0.36807170286787577,0.06366518600248028,0.14541319219660603,-0.028389755636315267,0.22786662851075706,0.22454728041232266,-0.20094788044820444,-0.2011331531333425,-0.6347268613846198,0.4419480101593483,0.22846999687308206,0.053242151755702315,-0.05988994693164537,0.05880271022339728,0.041946269279000914,0.24407805862765888,0.2677182822155311,0.05217136405306078,-0.1096006857197317,-0.0005200465736475598,-0.046724178287054656,-0.16766082962406811,-0.34362682965472563
city_steer_min_std_over_windows,-0.026209249666629148,0.09593603562290316,-0.49372395782975553,-0.6673938774061751,1.0,-0.45749231882051034,-0.0763028086462683,-0.1824847841352965,0.11547627092289317,-0.3971632656856332,0.4002284207971625,-0.3332642205593981,-0.01997767783354473,0.02719152470546383,0.02970685136889134,0.08996985360324869,-0.2951157834198549,-0.06512429062349097,0.13664218122852465,0.21856482000677263,-0.13265903127184883,0.19878296190977013,-0.09329266512258674,-0.16450262758925907,0.29210584466582995,0.009402784728746762,-0.16880891563361058,0.260005983979356,-0.5012877124474416,0.4162890324580754,-0.007069005137374322,-0.3296710472619173,-0.21008859630086948,0.18466842345361234,0.06530270761104756,-0.07726496125103893,-0.07517484504172973,0.04598370393402086,0.2634268245938867,0.15321086625244176,-0.3155482812072231,0.34718428664785145,0.1835815868350673,0.43548973774321925,0.0470099111485952,0.3536329323929926,-0.3568836313126043,-0.15763755980743432,-0.2989431880274692,0.272897847246094,-0.00487825286249541,-0.11121645415997265,-0.055275470350419784,0.22660324882230826,0.15639324840824537,0.1304091709452242,0.2913456494295562,-0.01401874116662373,0.1115943613373208,-0.1484089435551929,0.41380667352439776,-0.10808135011958538,-0.2328917681994161,-0.03641831550489407,0.13068915304429457,-0.27314373896847377,0.08266806691897036,-0.2432802075046314,-0.25588998501435606,0.04982877195397048,0.04791925791232829,-0.06556579986679875,-0.07113320174795504,0.2874223122960693,-0.02986663423797451,-0.17625503941635634,-0.13232143978254784,-0.19541082588878075,-0.4041547473326678,0.14714185050790046,-0.047248432709982725,0.13889062818032386,-0.05236043402611924,-0.13436022995967406,0.17119490319494837,-0.15894835848055064,0.16107577506978915,0.077351333813089,0.12638938837776334,-0.10298536169993434,-0.24967649114444865,0.2634433950367893,0.022692609547457797,-0.19841429233737737,-0.18397891348142803,-0.18506397133071445,0.0042807603177670624,0.07000401363637306,0.0689237028079262,0.41703968187509755,-0.2695683172915442,-0.21954722317841022,0.0016041688922656826,0.33862371479407577,-0.24485440090789554,-0.4340536420142477,-0.3276284033313681,-0.39998291276836195,-0.37687799520426807,-0.24240788439392189,0.02529301941887226,0.054972844902356044,-0.17184689847788445,-0.11192816447830167
city_steer_max_mean_over_windows,0.16674532689493388,-0.18443203535263455,0.8756295214577732,0.484877812373294,-0.45749231882051034,1.0,0.7590219759038864,0.5700591746227316,-0.0522426333446701,0.44112059682997407,-0.2524207065552239,0.7054500003310951,0.44962440890271443,-0.1561281421236216,-0.046622767500600064,-0.08153946087813797,0.03448263281812921,-0.06545989430663458,-0.11036364297414562,-0.29274513054462625,0.059886107891241665,-0.2734411897001775,0.3201818293405554,0.4248541300949754,-0.3142085579694175,-0.24215229004391808,0.8665363061987836,0.5238917781566971,0.599300513740811,-0.7010983901862549,-0.2553501411111049,0.2679235831968,0.09571595266743503,-0.09475667400417032,-0.1450782805171242,-0.006759030076419713,0.04276790329548607,-0.1931924332182104,-0.2130491465180699,0.08159944157306986,0.31786365415315154,-0.2886216692465884,-0.07002801526285897,-0.061703521173093585,-0.15925231109039747,0.25302464868505475,0.6590574458309154,0.4966608016315421,0.6057494148127108,0.20595328290621018,0.06082074064347146,0.12159268531462311,0.026526201870802936,-0.1575196635752852,-0.053969649270829714,-0.2005433672334201,-0.09513626344424819,-0.014732447777169911,0.2856521739362846,0.07486398969196226,-0.2615791235107372,0.2029379208337744,0.3456121992077615,0.025809226487438046,0.04543734597836339,0.12762754564746157,-0.0036899660351461384,0.08749005076735557,0.12265633498171674,0.14016011586993174,0.003738807838057232,0.15501923343845525,-0.13336603026419036,-0.08362714170791141,-0.23568639480760192,0.12539839823657287,-0.026797118530485102,0.04084250978263137,0.2513518006224839,-0.17848794691562128,-0.11014970676069814,0.08081201164273057,-0.22369612822883758,0.03680725591473356,-0.00517947659788421,0.29527510341529195,-0.09059131960764548,0.026347470247636787,0.06385887307592912,-0.23634383074094412,0.00406495981518442,-0.0696657219532312,-0.11594576911682682,0.35337720261620376,0.03286888637570703,0.33828273012386356,0.05515960262081051,-0.21701298369432714,-0.21435853824659448,-0.21724917650417322,0.06541148266404695,0.19651347858339474,0.09107609389452294,-0.05753889374599122,0.33844933235204744,0.16653980854939598,0.2591315258614278,0.16217818450283186,0.1468668685726179,0.10476903859555303,-0.05154961769445714,-0.030027946266333122,0.13473764361604898,0.09683208142273425
city_steer_max_std_over_windows,-0.06446539845583671,-0.1030224854715063,0.5962112311185543,0.23174308325471865,-0.0763028086462683,0.7590219759038864,1.0,0.38279928908075206,0.006817093567446082,0.11933030459612881,0.01516290574947138,0.4840755508281411,0.457015760969884,-0.20365841011563895,0.08136638083720178,-0.09735229797744432,0.23265761709061758,-0.32422974105679636,-0.1309235407135882,-0.14103142074283717,0.269945748095586,-0.07969245865501882,0.4165607336321753,0.31014513126718535,-0.2262972460290977,-0.2765999125853847,0.6949731232843722,0.7416842848584139,0.25063285405012903,-0.4225492464115612,-0.18731039218537526,0.006747662797294586,-0.03481353219427708,0.09467132014631073,-0.3520362251822184,0.3338578539904623,-0.2960488995027737,-0.25281377275007244,-0.21955196315021544,-0.0011358669345303029,0.3183042189134316,-0.2334332686306522,-0.22245021514474073,0.3038153559159895,-0.2705787992626324,0.40183243227358534,0.3600179908191968,0.33993361840173947,0.36418888080415684,0.2879791738549849,0.0628735336635921,-0.11672105748615583,0.12054141757498639,-0.16717373433838423,-0.2873665163095416,-0.18297587531798826,-0.0809879087542845,0.16885163339241485,0.24803800647408214,-0.0822040629231451,-0.14028791058610604,0.08897284469765206,0.21212062229497766,-0.08802337587717303,0.19913201110954507,-0.0833391874397835,-0.006342680063523774,-0.16253937743575775,-0.21109202273485778,0.27454339234342606,0.09192619320206356,0.16296484024185137,-0.29862329635731183,0.22980151080865843,-0.284937173621353,-0.10263985678315453,-0.15739129320689488,-0.04846319499288706,-0.03452018789271269,-0.13667012074037332,-0.12998944229482237,0.4036447389611233,-0.5113415544813503,0.04534050036953413,0.1476008895240233,0.07309584904169296,-0.018749474503872363,-0.1314617896981965,0.17016138830602734,-0.4831699318473507,-0.2571772495347291,-0.10356667043131063,-0.021227587097360362,0.22654774923898607,-0.1449679935017603,0.17844505906193664,0.09100560530343023,-0.20417184853663525,-0.39171409073607055,0.17181296961767012,-0.19497801154211664,-0.04876354103378424,0.07694437087273696,0.20301847584111113,0.2361946666029837,-0.0017602425780226753,0.0022919959663821334,0.1202498892448518,-0.08831502043148841,-0.12615745119154045,-0.21558580619231862,0.09210921697794845,-0.07790720073558428,-0.022490225027709844
city_steer_median_mean_over_windows,0.24840345978418485,-0.13752326163831355,0.8447649618163844,0.07057793382902416,-0.1824847841352965,0.5700591746227316,0.38279928908075206,1.0,0.29194021027068545,0.5279997420286601,-0.16441773133632687,0.8661483753652768,0.6050712051925549,-0.10431939611656214,-0.0016647827612859792,-0.24959344075986545,0.10325961448972527,-0.08080370186777058,-0.11533612116009377,-0.21469678056271252,-0.24856473753434097,-0.18452612399353654,0.10898767366350133,0.19211387051672021,-0.1719856905846834,-0.13895573602536285,0.5646140855823794,0.611059047269687,0.7114884890150992,-0.5476136802546305,-0.15202026954828682,0.1047997517655405,0.059813150003773304,0.04922746179005886,0.018595404628145917,0.01354768701590675,0.04851951543844082,-0.11851465373660143,-0.16814198001568328,0.0890762906749645,-0.04859506673394974,0.04461064060528255,0.137444011362966,-0.04423992476067591,-0.13513640682036718,0.026493238927419133,0.2864941149639729,0.057265719651728816,0.4699077727846342,0.14436757214169824,-0.22792389201562172,0.060305590071913814,-0.2921043286599921,0.16073672253718824,0.15618296972021375,-0.2818357892163877,-0.013697848467224312,-0.257504057909879,0.6548182246440855,0.10443113661934715,-0.04732912919628752,0.16365796613602562,0.0064203039686502785,-0.14080545828551616,0.3379568082936408,0.28273043691112637,-0.03763110132422689,0.11377472268811978,0.27462447574644777,0.18246204936688093,-0.04944983784791524,-0.04955935473061775,-0.003767767939259247,-0.009953026626235859,-0.24426326105653817,0.21217258412470738,-0.02649860221660501,0.056947636553320864,0.04856750503977781,-0.12404505405010868,-0.11313773814526967,0.2162296513936496,-0.1836067584803832,-0.026612525338236496,0.07307198811750269,0.36308222303902693,-0.3730399568965075,-0.1684026394631412,0.041801061208426984,0.04045638455361762,0.003003132043804185,0.008083063578861929,-0.3777876355630928,0.44719778243808744,0.15521320497989702,0.36865931215834985,-0.0167880963532025,-0.14475169206330193,-0.1561570033710188,0.007269504813019079,-0.012322285581615414,0.150929030969961,-0.12365675639650874,-0.1493154676289805,0.3438129808414221,-0.07524313705614613,-0.12169276527398336,0.03709131240407254,0.05634306893023323,0.1442711786837676,0.22383532534493591,-0.23441680672082674,0.3387551101741443,0.09537047749298438
city_steer_median_std_over_windows,-0.007890365458929014,0.007113315395001523,0.10240074527927166,-0.23202838983071178,0.11547627092289317,-0.0522426333446701,0.006817093567446082,0.29194021027068545,1.0,-0.3904986076588148,0.5739145453951305,0.4186256822304567,0.5630933487019931,-0.033674517087741024,0.15115962275448253,-0.024824367376895456,0.16576916377341025,-0.25259427417946184,-0.14503250975789017,0.07624384276789328,-0.14680624273471493,0.19938052389300273,0.2302043238272936,-0.11378617899059881,0.05945951380635646,-0.07285043890740527,0.1947991046270325,0.15852175423670872,-0.08325434789525349,0.3796338571877797,0.06260125944035473,-0.38883399777492467,-0.28610352473514034,0.1771980126357996,-0.14742067298562953,0.30397942056731564,-0.300264885862897,-0.0016183838362158758,-0.09068046693355014,-0.017895840261801455,-0.06393419569846728,0.11751798622131569,0.005110127576828545,0.06620776503128434,0.02456740421726497,0.33368064265543745,-0.2012074004176478,-0.40937457688814094,-0.005794633648138184,-0.1973623156665969,0.3128313021695874,0.04111943305207942,-0.3269318690406191,-0.15662971405173906,0.11116756933078284,0.10149625702654592,0.2730883416571246,-0.04803161488555537,0.3329635174761542,-0.25293370689649186,0.2701140026065226,-0.2776027220025716,-0.30976855760067273,-0.25770423072734905,0.2917456858023947,-0.31553958155780076,-0.03127065329722838,-0.3596493660116253,-0.11860777735228537,0.11125810726161349,0.19315048406968185,0.05655003071266131,-0.11553597928175613,0.3137934000315663,-0.10390545446683495,-0.2594929176098499,-0.28134922747229013,-0.0539069991723089,-0.15256528114871515,-0.029571376163697472,-0.2625422093899344,-0.160919515311665,0.14049585228802508,-0.04083690501301787,0.10856879222214058,-0.3643675851179698,0.07879976595827289,0.05584620195757687,0.11661974946076223,0.16177255157221326,-0.3625017409659494,-0.13848254764915643,0.007152934814816938,0.04402075695454858,-0.19273436714689968,-0.026635346076959995,0.2715957544643886,-0.22034940817057147,-0.04414903166649101,0.13861071327438818,0.008679083358918668,-0.3209138604044356,-0.23260463901604256,0.22422686380364953,0.007995120848037744,-0.2690683754543222,-0.4345642359526756,-0.2719570272133124,-0.21077771182164157,-0.08732974089868413,-0.303800188193405,0.1732172740599549,-0.06058301725196257,-0.05857889240306344
city_steer_q25_mean_over_windows,-0.009813628056527954,-0.0646759397760965,0.6208839614524732,0.402253095058203,-0.3971632656856332,0.44112059682997407,0.11933030459612881,0.5279997420286601,-0.3904986076588148,1.0,-0.8679928076081063,0.3305354032163477,-0.011385049133454854,-0.0702992220562197,-0.02524650290652319,-0.07867783734049026,-0.1638054134740228,0.027898895781874194,0.2100320987781235,-0.36294005417555,0.030830212579359518,-0.4413420673384599,-0.14553531168362555,0.35441324542037106,-0.24674797799138506,-0.11081838383062978,0.1756553226019696,0.0690479162737269,0.7197772308412775,-0.6090611685158388,-0.2645086192881208,0.4516432287611861,0.32493587249316613,-0.0912570365439421,0.08185975404156602,-0.3001278845867737,0.2842338055975326,-0.17024726677011295,-0.15832607124602097,0.1838050328008121,0.11447615259699824,-0.0528095376788038,0.03266157612404798,-0.1792474141055995,0.0766665556478843,-0.37326230842493746,0.359242430349228,0.27559903366669736,0.3521651924800732,0.10795453062320227,-0.3750257555043651,-0.0418833698204471,-0.02900814917715084,0.18258116032852217,-0.03737033576902929,-0.3854264645516143,-0.3910270631054724,0.01845621560105401,0.2281626171199426,0.3401756205969277,-0.33925319368865603,0.3535575412752963,0.21855424512106175,0.1548993692648047,0.02231294503212483,0.5286847167740066,0.02059351308877743,0.2759411758857714,0.3424268822492347,0.20649866885097304,-0.20932274197907233,-0.2442013062171201,0.27798388267485896,-0.2690776934935106,-0.06522962671867949,0.25297048801580524,-0.03244921158489603,-0.12576890896852244,0.42647741232611214,-0.02383998371689046,0.01832672975144728,-0.030416150933901955,-0.005223534378357671,0.03653225604134631,-0.11693148124531709,0.6313800529994632,-0.5476921625114856,0.001234254703583109,-0.20039634840509996,-0.09099839609640817,0.20995198763406991,0.057797712828000274,-0.4273409732672079,0.4258083951743955,0.2600261367633819,0.18198503865030585,-0.10371077205545207,-0.006032327923252736,-0.17587373181732,-0.34896230526214433,0.24397634058321208,0.36540799752673353,0.011423109775831303,-0.18976447109915348,0.26735754757585545,0.29072317477253934,0.3578601560570862,0.15995768732567647,0.21073490081014304,0.14277798706513392,0.3793957399695973,-0.29455005687068575,0.288387021647672,-0.041731382370218575
