feature_dropped,feature_kept,corr_value,between_class_var_dropped,between_class_var_kept
city_n_samples_std_over_windows,city_n_samples_mean_over_windows,-0.9814360577994041,0.1170479542843307,0.1657814263652915
city_duration_sec_mean_over_windows,city_n_samples_mean_over_windows,0.9980636212298976,0.1628976048076937,0.1657814263652915
city_duration_sec_std_over_windows,city_n_samples_mean_over_windows,-0.9819508237978948,0.1174243484802332,0.1657814263652915
city_steer_std_mean_over_windows,city_steer_abs_std_mean_over_windows,0.9663469318141398,0.0430768903389674,0.0839900797478615
city_steer_std_std_over_windows,city_steer_abs_std_std_over_windows,0.918234526621502,0.0292181669877333,0.0465373722181786
city_steer_q25_mean_over_windows,city_steer_q25_std_over_windows,-0.9374249549330318,0.0287534396319155,0.0835470019813265
city_steer_q75_mean_over_windows,city_steer_q75_std_over_windows,0.9205341444943522,0.0444105272969003,0.0523141759335562
city_throttle_mean_mean_over_windows,city_throttle_q25_mean_over_windows,0.9733817881709311,0.024377962778269,0.0262175974411666
city_throttle_mean_std_over_windows,city_throttle_active_mean_std_over_windows,0.9646895724510632,0.01085173386692,0.0208334309205214
city_throttle_std_mean_over_windows,city_throttle_active_std_mean_over_windows,0.980016817317635,0.0183426679031284,0.0187652992521483
city_throttle_median_mean_over_windows,city_throttle_median_std_over_windows,-0.9307005915136431,0.1272813130080675,0.1553566136569872
city_throttle_q25_mean_over_windows,city_throttle_active_mean_mean_over_windows,0.9709757333520876,0.0262175974411666,0.0279374186799068
city_throttle_q75_mean_over_windows,city_throttle_q75_std_over_windows,-0.9969631819061393,0.125107227944707,0.1490633344819131
city_brake_mean_mean_over_windows,city_brake_mean_std_over_windows,-0.9190932246222899,0.0660806804662567,0.0669347512058615
city_brake_mean_std_over_windows,city_brake_median_std_over_windows,0.9186788441643481,0.0669347512058615,0.1439723215661821
city_brake_std_mean_over_windows,city_brake_min_mean_over_windows,-0.9038469014546162,0.06657148960345,0.0850251910726376
city_brake_max_std_over_windows,city_brake_max_mean_over_windows,-0.999999999999999,0.0869565217391304,0.0869565217391304
city_brake_median_mean_over_windows,city_brake_median_std_over_windows,-0.9676059831224756,0.1103861265650253,0.1439723215661821
city_brake_q25_mean_over_windows,city_brake_q25_std_over_windows,-0.9361312681453495,0.0297131133422034,0.0399246263479177
city_brake_q75_std_over_windows,city_brake_q75_mean_over_windows,-0.997524508742806,0.0465042099554141,0.0691630721995871
city_steer_neg_ratio_mean_over_windows,city_steer_pos_ratio_mean_over_windows,-0.9999973201548453,0.0775498405213925,0.0777866962872339
city_steer_neg_ratio_std_over_windows,city_steer_pos_ratio_std_over_windows,0.9999816892639677,0.1837792961928621,0.1859472112311239
city_steer_zero_ratio_mean_over_windows,city_steer_zero_ratio_std_over_windows,0.9842360581744412,0.1397744658672719,0.2088368858817788
city_throttle_active_ratio_std_over_windows,city_throttle_active_ratio_mean_over_windows,-0.9773443688392601,0.015044005356397,0.0246362140248034
city_brake_active_ratio_std_over_windows,city_brake_active_ratio_mean_over_windows,-0.9484678164031594,0.0178999611806651,0.0362958228714093
city_brake_zero_ratio_std_over_windows,city_brake_zero_ratio_mean_over_windows,0.9347525254778004,0.0617661250959127,0.103176689993962
city_throttle_diff_mean_std_over_windows,city_throttle_diff_mean_mean_over_windows,0.9887995361973227,0.0889352557686021,0.0937081253482593
highway_sampling_rate_hz_std_over_windows,city_throttle_diff_mean_mean_over_windows,0.9118379514479953,0.0311151819360397,0.0937081253482593
city_throttle_diff_mean_mean_over_windows,highway_brake_diff_mean_mean_over_windows,-0.9058864936999111,0.0937081253482593,0.2240091233892965
city_throttle_diff_abs_mean_mean_over_windows,city_throttle_diff_std_mean_over_windows,0.959257635086636,0.0636066892623553,0.0758109758760931
city_brake_diff_abs_mean_mean_over_windows,city_brake_diff_std_mean_over_windows,0.9404032353397315,0.0373668243267238,0.0514089535356506
highway_n_samples_mean_over_windows,highway_n_samples_std_over_windows,-0.9746580447833932,0.1257104354568317,0.1271991019881395
highway_duration_sec_mean_over_windows,highway_n_samples_std_over_windows,-0.976373054378288,0.1222863929590378,0.1271991019881395
highway_n_samples_std_over_windows,highway_duration_sec_std_over_windows,0.99998884270766,0.1271991019881395,0.1272395759023731
highway_steer_q75_mean_over_windows,highway_steer_mean_mean_over_windows,0.927904747327899,0.0280792681373358,0.0303257542659125
highway_steer_mean_std_over_windows,highway_steer_median_mean_over_windows,-0.904565965261561,0.0142012848460155,0.0298033990775811
highway_steer_abs_std_mean_over_windows,highway_steer_std_mean_over_windows,0.9882297687891215,0.0301811718285796,0.0378503161091652
highway_steer_abs_std_std_over_windows,highway_steer_std_std_over_windows,0.97852684751987,0.1489108398407413,0.1601536437186568
highway_steer_diff_std_mean_over_windows,highway_steer_max_mean_over_windows,0.936579740888469,0.0427600055824976,0.0470338025356793
highway_steer_median_std_over_windows,highway_steer_median_mean_over_windows,-0.946668085015943,0.0157552958433872,0.0298033990775811
highway_throttle_std_mean_over_windows,highway_throttle_min_mean_over_windows,-0.9570512049416043,0.0161597474042378,0.0177421857562882
highway_throttle_q25_std_over_windows,highway_throttle_std_std_over_windows,0.9070888701248717,0.0601634282011424,0.0844788456991753
highway_throttle_min_mean_over_windows,highway_throttle_diff_std_mean_over_windows,-0.907787137000609,0.0177421857562882,0.0361769823944766
highway_throttle_max_std_over_windows,highway_throttle_max_mean_over_windows,-1.0000000000000022,0.0869565217391304,0.0869565217391304
highway_throttle_median_mean_over_windows,highway_throttle_median_std_over_windows,-0.9324908724395948,0.0411734935237037,0.0485686484332793
highway_throttle_q75_std_over_windows,highway_throttle_q75_mean_over_windows,-0.963575079884863,0.0810370318272777,0.0839841681814805
highway_brake_max_std_over_windows,highway_brake_max_mean_over_windows,-0.998088665591427,0.0424051435542029,0.0491730017851802
highway_brake_median_mean_over_windows,highway_brake_median_std_over_windows,-0.9032930432701419,0.036225583241752,0.0605810188229069
highway_brake_q75_mean_over_windows,highway_brake_q75_std_over_windows,-0.964274683598395,0.0870732163651284,0.128167092010437
highway_steer_pos_ratio_mean_over_windows,highway_steer_neg_ratio_mean_over_windows,-0.9999959177054861,0.2157992950713531,0.2163432341953808
highway_steer_neg_ratio_std_over_windows,highway_steer_pos_ratio_std_over_windows,0.9999735272222283,0.0346880404712264,0.0347412410809076
highway_steer_zero_ratio_std_over_windows,highway_steer_zero_ratio_mean_over_windows,0.9964803556906279,0.0336346121052891,0.0348503578143793
highway_throttle_zero_ratio_mean_over_windows,highway_throttle_zero_ratio_std_over_windows,0.9756235196345476,0.0374290100125521,0.0527149177758837
highway_brake_zero_ratio_mean_over_windows,highway_brake_zero_ratio_std_over_windows,0.9706056078971135,0.0440944401922747,0.0909562137378838
highway_steer_diff_abs_mean_std_over_windows,highway_steer_diff_std_std_over_windows,0.9007619503846737,0.0311614337704527,0.0342879430298711
highway_throttle_diff_std_mean_over_windows,highway_throttle_diff_abs_mean_mean_over_windows,0.9308752386169783,0.0361769823944766,0.0576200353664772
highway_throttle_diff_abs_mean_mean_over_windows,highway_throttle_diff_abs_mean_std_over_windows,0.9036331866225157,0.0576200353664772,0.0646057320541756
highway_brake_diff_std_mean_over_windows,highway_brake_diff_abs_mean_mean_over_windows,0.9489503545328162,0.0219233404155245,0.0683533776103301
