,city_n_samples_mean_over_windows,city_sampling_rate_hz_std_over_windows,city_steer_mean_mean_over_windows,city_steer_mean_std_over_windows,city_steer_min_mean_over_windows,city_steer_min_std_over_windows,city_steer_max_mean_over_windows,city_steer_max_std_over_windows,city_steer_median_mean_over_windows,city_steer_median_std_over_windows,city_steer_q25_std_over_windows,city_steer_q75_std_over_windows,city_throttle_std_std_over_windows,city_throttle_min_mean_over_windows,city_throttle_median_std_over_windows,city_throttle_q25_std_over_windows,city_throttle_q75_std_over_windows,city_brake_min_mean_over_windows,city_brake_min_std_over_windows,city_brake_max_mean_over_windows,city_brake_median_std_over_windows,city_brake_q25_std_over_windows,city_brake_q75_mean_over_windows,city_steer_abs_mean_mean_over_windows,city_steer_abs_mean_std_over_windows,city_steer_abs_std_mean_over_windows,city_steer_abs_std_std_over_windows,city_steer_pos_ratio_mean_over_windows,city_steer_pos_ratio_std_over_windows,city_steer_zero_ratio_std_over_windows,city_steer_signchange_rate_mean_over_windows,city_steer_signchange_rate_std_over_windows,city_throttle_active_ratio_mean_over_windows,city_throttle_zero_ratio_std_over_windows,city_throttle_active_mean_mean_over_windows,city_throttle_active_mean_std_over_windows,city_throttle_active_std_mean_over_windows,city_throttle_active_std_std_over_windows,city_brake_active_ratio_mean_over_windows,city_brake_zero_ratio_mean_over_windows,city_brake_active_mean_mean_over_windows,city_brake_active_mean_std_over_windows,city_brake_active_std_mean_over_windows,city_brake_active_std_std_over_windows,city_steer_diff_mean_mean_over_windows,city_steer_diff_mean_std_over_windows,city_steer_diff_std_mean_over_windows,city_steer_diff_std_std_over_windows,city_steer_diff_abs_mean_mean_over_windows,city_steer_diff_abs_mean_std_over_windows,city_throttle_diff_std_mean_over_windows,city_throttle_diff_std_std_over_windows,city_throttle_diff_abs_mean_std_over_windows,city_brake_diff_mean_mean_over_windows,city_brake_diff_mean_std_over_windows,city_brake_diff_std_mean_over_windows,city_brake_diff_std_std_over_windows,city_brake_diff_abs_mean_std_over_windows,highway_duration_sec_std_over_windows,highway_sampling_rate_hz_mean_over_windows,highway_steer_mean_mean_over_windows,highway_steer_std_mean_over_windows,highway_steer_std_std_over_windows,highway_steer_min_mean_over_windows,highway_steer_min_std_over_windows,highway_steer_max_mean_over_windows,highway_steer_max_std_over_windows,highway_steer_median_mean_over_windows,highway_throttle_mean_std_over_windows,highway_throttle_std_std_over_windows,highway_throttle_max_mean_over_windows,highway_throttle_median_std_over_windows,highway_throttle_q75_mean_over_windows,highway_brake_mean_mean_over_windows,highway_brake_mean_std_over_windows,highway_brake_std_mean_over_windows,highway_brake_std_std_over_windows,highway_brake_min_mean_over_windows,highway_brake_min_std_over_windows,highway_brake_max_mean_over_windows,highway_brake_median_std_over_windows,highway_brake_q25_mean_over_windows,highway_brake_q25_std_over_windows,highway_brake_q75_std_over_windows,highway_steer_abs_mean_mean_over_windows,highway_steer_abs_mean_std_over_windows,highway_steer_pos_ratio_std_over_windows,highway_steer_neg_ratio_mean_over_windows,highway_steer_zero_ratio_mean_over_windows,highway_steer_signchange_rate_std_over_windows,highway_throttle_active_ratio_std_over_windows,highway_throttle_zero_ratio_std_over_windows,highway_throttle_active_mean_mean_over_windows,highway_throttle_active_mean_std_over_windows,highway_throttle_active_std_std_over_windows,highway_brake_active_ratio_mean_over_windows,highway_brake_active_ratio_std_over_windows,highway_brake_zero_ratio_std_over_windows,highway_brake_active_mean_mean_over_windows,highway_brake_active_std_mean_over_windows,highway_brake_active_std_std_over_windows,highway_steer_diff_mean_std_over_windows,highway_steer_diff_std_std_over_windows,highway_steer_diff_abs_mean_mean_over_windows,highway_throttle_diff_mean_std_over_windows,highway_throttle_diff_std_std_over_windows,highway_throttle_diff_abs_mean_std_over_windows,highway_brake_diff_mean_mean_over_windows,highway_brake_diff_mean_std_over_windows,highway_brake_diff_std_std_over_windows,highway_brake_diff_abs_mean_mean_over_windows,highway_brake_diff_abs_mean_std_over_windows
city_n_samples_mean_over_windows,1.0,-0.2040451946842371,-0.07144789108438569,-0.1439789537500077,-0.06264592954046788,0.2691784328930853,-0.0191234869423362,-0.03541623394992698,0.09500867733629706,-0.10534953374688508,0.12564802544660922,0.05705941867822141,-0.2523754226116244,0.3041942828404214,0.10383737961389324,-0.1985688476443876,0.10652640558509799,-0.1104697511434326,0.13123753399547378,0.23316671316145454,0.19933106137115733,0.13537279147976963,-0.23443328455540152,0.021565337313298495,0.19825830843991546,0.005884691257489809,0.13154725326945121,0.0503942569984019,-0.07640472021746869,0.46463115415321526,-0.12268544254817411,-0.2827617008272893,0.21661037783427314,0.013216946259041067,0.11538574769868389,-0.16342200703301094,-0.3088073666943994,-0.25576578535650624,-0.06634570819803892,0.16341210389040467,-0.23149904197447402,0.27969528915873526,0.214404358853615,0.18013191931638176,0.2470969838566767,0.017382043309029226,-0.2504368655419192,-0.2880967967540533,-0.31686507334413894,-0.21220963909410204,-0.371471738031207,-0.4577273512748871,-0.35848220436062916,0.03986885343612701,-0.3026195869836503,-0.12180890282208498,0.0521452476947449,-0.005533396123966775,-0.4244225425636699,0.14226716211321622,0.09830981833732191,-0.35480860634236766,0.024518796179218195,0.38968014721042854,-0.11881359413184504,-0.20776187060180273,0.008979603238693927,0.02698947827614879,-0.11513637288936095,-0.22276032806333354,-0.18481140314994984,-0.177452765304803,-0.3199331365903438,0.3762287604645213,-0.20170921991154978,-0.3964512694448876,-0.1122462001434805,0.4459668270323445,0.001360517389863987,0.03229906161697102,-0.0833260282734999,0.19617956351545018,-0.15895697267034,-0.23095096145676003,-0.16144154605321737,0.10497153824572514,-0.07148907043427304,-0.1675585074915171,0.24746518720118715,0.10790181572938506,-0.17472570030814544,-0.06474090693643429,-0.029033939994332136,0.019162668624801617,0.05121397954847831,0.33032393727725984,-0.2815584408552253,0.07662875709356348,0.12559462507600014,-0.3664238098379209,0.03974168012294089,-0.2437430747724236,0.09174996704391408,-0.3165921487418492,-0.24277325125590507,-0.37992785516898353,-0.37105632618147855,0.39182474968877684,-0.480953274239946,-0.21122434063759016,-0.477280063113788,-0.4406679297742071
city_sampling_rate_hz_std_over_windows,-0.2040451946842371,1.0,-0.34879354356956677,0.14497720957609755,-0.19865225417460058,0.12921970990108667,-0.33861933311308945,-0.11794121244592289,-0.1895142180763586,0.07436425359239483,0.4115063950661839,-0.17221717029742373,0.49721612436762874,-0.33338313124735647,-0.06305733620768877,0.19245250096144453,-0.21654339572448789,-0.2016872615046957,7.330713494780813e-05,0.14004354542811237,0.1831117992090175,0.209174499515465,0.15022021688538043,-0.1487765789218735,0.04319602928090517,-0.25948652714960263,-0.23769600122020576,-0.08286885931550164,0.281101671478696,-0.21144381122595632,0.128545216340568,0.20053540647601534,-0.48949335893159357,0.18644429498145879,-0.2614222919046134,0.2254625709186287,0.3957420248171317,0.2800018555762905,-0.10535851911410005,0.3901935321512828,-0.3264235966996927,0.29809968910010265,0.28772708129629976,0.1318809615830117,0.5012514415022528,0.15544712835331995,0.058400951032476736,0.12411105455464577,0.15300286614755512,0.5772244713871851,0.30763252106001593,0.18405392794772146,0.282520879928245,-0.065375557383051,-0.18706286421564003,0.24212553493436167,-0.016164000833662234,0.07893825049910201,0.11383563093932131,-0.29806864003818145,0.14378065751747227,0.0919295811564033,-0.24109936741978902,-0.012095648565598662,-0.28358579297812664,0.4374123173148885,0.04311626535198277,-0.02652420743708911,0.4937070832031122,0.1928474496416317,0.14958250413173524,0.6225354024780785,-0.1970352793910919,-0.3084001119802856,0.05649241820140649,0.28627023349884934,0.04583207336303795,-0.24037359030480232,-0.03336350109047272,0.15400398738291018,0.10307910079516135,-0.14439600061324143,0.09734556898542035,0.07986936901462172,0.045092835656297514,-0.05033502418216718,-0.07786351526816673,-0.09748860832647424,0.5135435172861689,0.12199990478306484,0.27791144524864364,0.3365314867274949,0.0037791006718945475,-0.2692710912395794,-0.15664040899487724,-0.22039260884466594,0.06569402970099161,0.0565805900150638,-0.11144847311128034,0.17852659655269768,-0.1719070847389339,0.008326627366427673,0.17518659270552112,0.5086257381799311,0.23357776613197953,0.2463701928554678,0.18153392116226655,0.1213293851569327,0.3717779005504364,-0.13079637946950587,0.3010030384981997,0.05014064745022211
city_steer_mean_mean_over_windows,-0.07144789108438569,-0.34879354356956677,1.0,0.051022351444749786,0.5131186632023966,-0.3219339949723902,0.8894427489325452,0.03358400200191244,0.8065258477882062,-0.05900681749614084,-0.684008657747171,0.7539700058424549,-0.2499205328459752,0.015361380253965358,-0.17268621455834127,-0.121321650151155,-0.3031980532593596,0.06592801252291013,-0.31321423873640825,-0.009906017019333779,-0.19694418750988116,-0.2141440144780093,0.10682021125122772,0.49598263075799653,0.1552126120063307,0.7429250642271796,0.34460343737645305,0.7568320634825982,-0.6571808024823012,-0.21866377462586548,0.1860187331927079,0.08150802731596563,0.01559429134929649,-0.13025676289182425,0.05956289998856962,-0.4099501224056614,-0.02907257121670901,-0.31102749715593236,0.23030391384657645,0.12271782949559691,0.1686791989829661,-0.0821036279100667,-0.08930134667463109,-0.021751245403754484,-0.24077030684397366,0.08272836778902593,0.41923536354206076,0.28970546451187534,0.4871738194026947,0.08655326077874832,-0.012276387892852372,-0.15247012336925939,-0.0013011917228743825,-0.11113589388097284,0.14070666067146587,-0.10982417008084785,-0.3530090036726569,-0.2282663500207268,0.13059234955591398,0.495535144932679,0.11353299319816931,0.24426236175894314,0.3522981234954223,-0.20921019914711877,0.21751920546038625,0.19061618664375307,0.26985238581795334,0.19867777013529228,0.07315111320868883,0.11007073313529311,0.02626461488379076,-0.08540958262887886,0.01867554897696402,-0.0331270918922977,-0.16550198329305257,0.06879442916838217,-0.31652284864020497,-0.2273328435058424,-0.15387047796391962,-0.27544851536882997,-0.11645843936409782,0.00951076762820188,-0.09625584515384605,0.1349101460467286,0.010228908581338689,-0.052294516309256786,0.07555729081541059,-0.24140963547068842,0.02975173741276367,-0.15610888252741414,-0.05212402258007476,-0.17087397274092625,-0.1823946825738668,0.43406086407388794,0.3731190285725594,0.12287150133565765,-0.24981355130621635,-0.20590302808879826,-0.3081104093439563,0.186853367718104,-0.283023526210215,0.15507618272993773,0.05612868125695091,0.042668865525158,-0.01154062596971511,0.1464499960807883,0.10646872852442824,0.11112548503134458,-0.1734179052168901,-0.19090305535126934,0.1793663955504636,-0.12280361183831916
city_steer_mean_std_over_windows,-0.1439789537500077,0.14497720957609755,0.051022351444749786,1.0,-0.250726443916043,0.15385346615635387,0.057067812617017065,0.03235610714219641,0.1086349569416021,0.6600752813382316,0.4631102937707986,0.5424500781312414,-0.028684936313199585,0.1702082824746339,-0.2013355176438976,-0.23746582490766657,-0.12839934204529999,-0.3220447364372457,0.24222954071270536,0.05511388842536231,0.23888138047153668,0.17416640039038814,0.09785730379560677,0.7132940005489573,0.6244313422118815,0.4215021882004413,0.300287578663197,-0.16038174213653308,0.3245073037014593,-0.20590242232490838,-0.36170301853451475,-0.26514117817941624,0.26109838148237857,-0.19681595408629537,0.2546210512116715,-0.09988617621753153,-0.20032554172391576,0.1590895254234987,-0.14450492240027635,-0.06931850940088405,-0.029312613462613584,0.25330006135642347,0.006939301967015156,0.1445658873630399,-0.02042190611292252,0.036191973034921006,-0.14695048923223974,-0.3365558654365719,0.030511650546182698,-0.17723333815080203,0.06946905969937932,0.32343771612446104,0.1510468357238937,-0.30669077520539056,0.28064489690137334,0.255637356708317,0.17721524818757461,0.3760747616839197,-0.03371841481665208,0.3151793924556485,-0.2652095369900526,-0.24805920125079856,0.01081856682892409,0.27791369913423714,-0.0953807319482928,-0.2887645453278386,-0.3501794581644394,-0.22274476813001223,-0.21462346513101896,-0.09663043932560286,0.22461784421013584,-0.28833215941544077,0.31457020871249225,0.2392354958824674,0.04835417008969814,-0.20705766747290433,0.11140422233258576,0.07659005537444223,0.224872738517565,0.12710149869601509,-0.05518199651476079,0.07194534635753014,-0.011926768070705532,-0.014691047097314041,0.024722975060461432,0.20501282115668232,-0.008383508373794658,0.17134887442305166,0.04096671932705286,-0.09104033051647661,-0.3683355365872862,-0.2191045721164985,0.1933043209785472,0.06287331451199592,0.2228033026009728,0.08024013937056312,0.01583263420005789,-0.23619143717914196,0.3163258425735328,-0.31891895692506367,0.09650816983665866,0.32085916124387015,-0.43733889801358333,-0.22366255209782898,-0.202244094109396,-0.06895292883726657,0.1709769771366279,-0.36174756827892834,0.34205051653522345,-0.007371045591282937,0.08611138343942099,0.2492496195340023
city_steer_min_mean_over_windows,-0.06264592954046788,-0.19865225417460058,0.5131186632023966,-0.250726443916043,1.0,-0.5303164086068379,0.4994406701026814,-0.0970778565531406,0.18400818063968963,-0.3547038966969915,-0.33599497676447493,0.12036814091032316,-0.2336410513479429,0.06732387180358106,-0.25658803895308574,-0.06504887157580126,-0.13182297617745994,0.338898359521677,-0.26480273778106245,0.02685231299710945,-0.16461539971298386,-0.2248566959780634,-0.04365716020724514,-0.12945124284315315,-0.3071878337696258,0.10670310425443524,-0.08292889796497029,0.4775321678565782,-0.5070914122383183,0.0498590149565013,0.2161992266166899,0.14904544724600335,0.055807620723071466,-0.1235104030938647,0.036923019807196505,-0.335569250488508,-0.006642622316670195,-0.261605476550103,0.3299627933448942,0.029698727169255847,0.2689463101623959,-0.1490203121806739,-0.22368702368027701,-0.09889866484778961,-0.032449289002490396,-0.1516855348304847,0.048351148643352056,0.1078453659645023,-0.001929415463442694,-0.08899902061466283,-0.17905898888688423,-0.20188780245678525,-0.15686096122149898,-0.021140123850759522,-0.04738163372005188,-0.44590080234509943,-0.4425427130315889,-0.6351996165542046,0.517433218128035,-0.17819950116605876,0.029012789296313304,0.29283305835767187,0.15476819499093042,-0.23645901923315019,0.09212562000788424,0.24879549051438993,0.2950492283391541,-0.06713567534758884,0.14794476118663144,0.20085368410889065,0.23507323487498474,0.028166751805613274,0.002038835108173408,-0.14550642269817043,0.02320990983905538,-0.06631687399100128,-0.18227399629210736,0.03178758975014193,-0.07993295337664655,-0.33099976104583007,-0.09108716027561103,-0.12699224983971572,0.005023437899364517,0.38168166253108093,0.2165744013840789,0.08456317905526232,0.1742158191686414,-0.09167416817238884,-0.13530832721213948,-0.15369186146699632,0.09194396500565967,-0.4393455964622205,0.08365389013169292,0.2123802314779874,0.3667714976376715,0.16951604280097335,-0.2152361842764278,-0.1953430276921971,-0.5936526050596426,0.2217997144751275,-0.08744242534390854,0.00043824542357516927,0.23140101914809322,0.1401299558161102,0.24281381630341572,0.21158460760131678,0.02970800824236066,-0.002606654563559129,-0.012762240758305584,-0.1557149279519491,-0.12761125162428066,-0.21734691682673687
city_steer_min_std_over_windows,0.2691784328930853,0.12921970990108667,-0.3219339949723902,0.15385346615635387,-0.5303164086068379,1.0,-0.28371071623058547,0.24648973979393118,-0.13204953692708485,0.023586511555690526,0.15663850645038685,-0.012634322756359362,-0.07207303339086249,0.34431754610151477,0.3296577170597725,-0.11825139942458383,-0.009375321566515885,-0.01938839323515241,0.053951437110261,-0.1452736637728458,0.027625273194336747,0.2507962025642534,-0.21329203152114848,-0.008637542776015491,0.35170694741482783,-0.014057544530416686,0.41549313519882525,-0.33612883335014193,0.15995211196283166,0.041998035153960944,-0.28832196665857746,-0.17994194546882572,0.30927870126253776,-0.11690856063870889,-0.023808647978415975,0.024021832577950163,-0.17213606643871684,0.013538627514605953,-0.05791319462872154,0.26565464158789565,-0.3190598254269357,0.44899814060512366,0.19541272295748133,0.35234433135524296,0.26389648351027967,-0.04182419797907293,-0.37458182526225736,-0.2661429018673752,-0.39822476229447457,0.01606958158195148,-0.2864221919814167,-0.1119454064500524,-0.31230261643872737,0.07728597850631094,0.13109825527958535,-0.06704573578653583,-0.1500464284840226,0.1550435788640071,-0.4535129081472472,0.1041245988037865,-0.1753840863146434,-0.38645620887509413,0.08482334417466862,0.4426633118688557,0.0826831467037267,-0.4383825325735879,-0.2219460302369074,-0.15933133734906996,-0.12711474139763765,-0.19076674078842873,-0.32746770388660434,-0.09270494891761857,-0.09166952791069814,0.3380536024355201,-0.12713302039696894,-0.2714771589868089,-0.25989820890877274,0.36292100498580326,-0.2826805858067136,0.49448402299096555,0.03263320402876133,0.11113900152659026,-0.036581906929004364,-0.17912140225193962,-0.09986731322206864,0.2860549842295322,0.044510755369321524,-0.0035332325214405486,0.1889601663986738,-0.07079595292704176,-0.2342136489226989,0.13160756081659433,-0.0011710169251953216,-0.20577710737805455,-0.09780926081115356,0.13948482671844242,-0.0300733778772405,-0.06135139005865324,0.2943873326977674,-0.161175441122413,0.1522889948310344,0.0350290400874931,-0.2595090082498284,-0.5276891118445133,-0.1685353499325269,-0.46834158430156536,-0.3304484322727758,0.04001706796827712,-0.03506191864150574,-0.36688034960840876,-0.2465831715719479,-0.23570346315478533
city_steer_max_mean_over_windows,-0.0191234869423362,-0.33861933311308945,0.8894427489325452,0.057067812617017065,0.4994406701026814,-0.28371071623058547,1.0,-0.007123065556350378,0.5900261171727266,-0.05771405848922395,-0.506995827041447,0.6608486069199969,-0.2256091462616613,0.016627284047239208,-0.17562585574532763,-0.14597299689005253,-0.2924611092356637,0.08821797670023843,-0.15561168800712252,0.12030574778299621,-0.314301206707688,-0.24655331415229548,0.2167750225925461,0.5239175683291426,0.17497120695585705,0.8341584406254489,0.24587510452280598,0.586992774343851,-0.6392280471124895,-0.27335234654980267,0.25598152089283116,0.08178130273566045,-0.05948879182026481,-0.17436860893120895,0.05313604358006929,-0.3759892570821509,-0.0393750232072831,-0.29777044706164574,0.2767198237485515,0.029686963928811573,0.2375891003246561,-0.14157611084775157,-0.12558274361570293,0.06949030468822831,-0.2011664577747684,0.30313576835650086,0.5617552092636396,0.33479964024083547,0.5315800618273316,0.06356772187612449,0.02370394315950017,-0.02749796597334736,0.07618507063803433,-0.05250325325899167,-0.07860601783957019,-0.11885800110138009,-0.18358759053203802,-0.16133839957868154,0.2827765286506441,0.3589137995034835,0.033178747437696304,0.2715661069137177,0.3566859248390513,-0.24286847672926354,0.2146796153460603,0.26544807471993087,0.42689851819520247,0.056171404304721784,0.056561345614522425,0.0656169956623954,0.008562159528716884,-0.11243766591244013,0.06102566623198933,0.015602263913258353,-0.24305917291523363,0.0017550406034098464,-0.3562538284811774,-0.17178213560921674,-0.10379364473818083,-0.353231380136609,-0.19579448900784574,0.056698598347700094,-0.18742064453481475,0.11538759267780253,0.1038708150841772,0.06284270750119138,0.10574736542136946,-0.13017998080897672,0.059061575848174716,-0.25442571620205096,-0.08748889231814126,-0.20214196593647935,-0.04846544536236684,0.4077789158810702,0.41975058300112034,0.17696773027464516,-0.34438476432039083,-0.32049090382405904,-0.2951587494178871,0.06984115111858656,-0.41511343720232907,0.17213895790305592,0.2586487072779849,0.08915646383173402,-0.01795452496320624,0.15189921171937976,0.08063416725127755,0.0413106194487862,-0.09893608398006992,-0.19948631794035201,0.08484927042834511,-0.1032509965046426
city_steer_max_std_over_windows,-0.03541623394992698,-0.11794121244592289,0.03358400200191244,0.03235610714219641,-0.0970778565531406,0.24648973979393118,-0.007123065556350378,1.0,-0.0055541974399414724,-0.07513483994319667,-0.3509208213099301,0.1759464978743234,-0.03898740044527471,0.27914325240086735,-0.2954230099970023,-0.4428211455704217,-0.1640267760467919,0.27453007394273293,0.24267076816507416,-0.14039245618477905,-0.17170161756918656,-0.06505168223997511,0.1251124607597002,0.07692681634152848,0.3322042818769584,-0.0271354464512079,0.7446850594073798,-0.06423837510868068,-0.1856654333565689,0.08208990891365786,-0.19663417431619576,-0.015620341913074232,0.2566739569593005,-0.2955362350593739,0.5097269767474047,-0.26081501849855454,-0.4376571167634686,-0.03206847042746654,0.10230786366510182,-0.16089464336681095,0.19806061084893195,-0.08170686255062555,-0.2717313917073103,0.4187384218446005,-0.21337597382550538,-0.40205710395716326,-0.2040964938724711,0.19177881227027005,-0.05142833071166812,0.2927148427951892,-0.29417128605723947,0.044597664804581355,-0.18785385384262837,0.13677984107902433,0.06593371796560377,-0.335564619906031,-0.13231913076751062,-0.07406805543239414,0.04677580716720244,0.07620466883827286,-0.11796469683664766,-0.06246067426776813,0.06048338753465911,0.005566076271992722,-0.09636377430008931,-0.12746461562022257,0.0022855464757889363,0.022210826968437968,-0.3193985725901267,-0.26653011648316693,-0.4059256715537425,-0.3113877755519785,-0.0013085317382383536,0.22191964700261943,0.11131873109181435,-0.21057501961586325,0.09308388107081995,0.29587740374114235,0.18394557729069003,0.25626967034904463,0.19066389815471937,-0.045635528754740966,0.15250128273350516,-0.18932417324992837,-0.010861451472603619,0.04181327742465228,-0.1566917303890715,0.014361475158894205,0.14489946122948572,-0.46243288021314194,-0.31893950835731777,-0.057724313880083714,1.0519458024041865e-05,-0.07548561362337831,0.005134937603171959,-0.15106127836176247,0.2534237649778851,-0.21935764846747652,0.49190199990870587,-0.2645211059120977,0.28349689221857793,-0.0018789253068517342,-0.4058538013125911,-0.13904763472750953,0.024653108987708946,-0.2010467031543376,-0.1917111188674118,-0.1864919316481658,0.1254087746868533,0.05456635078861029,-0.1699427827615596,0.09094876789428147
city_steer_median_mean_over_windows,0.09500867733629706,-0.1895142180763586,0.8065258477882062,0.1086349569416021,0.18400818063968963,-0.13204953692708485,0.5900261171727266,-0.0055541974399414724,1.0,-0.040590565693899704,-0.5485172394345332,0.6351222593912237,-0.15176413170879982,-0.0807314010095871,0.03207194046672647,-0.04311395735646877,-0.13909454363519982,-0.18458551960182845,-0.39636786128580076,0.0075793616490923395,0.05314985536245008,-0.04089279782796075,-0.005637909855476993,0.4215720002453021,0.15674402236437132,0.5620182033126773,0.29283656353803933,0.7788444364614248,-0.524459966744419,-0.16206539598651593,0.20828365053959055,0.10204191093035501,-0.004468625054573935,0.06694867225263462,-0.07242018698249708,-0.20185721109690558,0.05200062919129579,-0.29398125130923064,0.05571985319575542,0.17602610764113472,-0.12722778528775713,0.18229608256582946,0.14508632435866833,-0.07818912251219012,0.006540806871689516,0.028702767001714497,0.18856732807481622,-0.027999316023475822,0.36653262468152625,0.030975810800345324,0.03160108168297649,-0.27876525979382355,-0.06951324994784235,-0.2584145359354871,0.2520474173704106,0.12080531459531849,-0.41198986308101576,-0.14198635885156646,-0.19286884173547858,0.5419055009878627,0.11589441248740373,0.1358532763906009,0.38442908039366835,-0.06417889375215781,0.17648875415146154,0.0534430881570521,0.10550250398528083,0.18900256225808695,0.191492460286843,0.07386663932021284,0.05182475221518833,0.09379844442949206,-0.17101094730661603,-0.08296917156154382,-0.2467667799568828,0.23946684838708343,-0.2672362293049367,-0.33939269188525495,-0.32469964920729116,0.01971519886736562,-0.12239131305559212,-0.03984900321784636,-0.038472666746290046,-0.13322444878276044,-0.021707713341280507,0.03131735859511927,-0.13125527721453736,-0.40411632667004754,0.10746807875125547,0.024153878665773672,0.0420921285577312,0.06863888363664086,-0.3658257748354999,0.3800613865500367,0.16890246386095792,-0.01976510368520558,-0.168333897603705,-0.10381208493851123,-0.1002740599913647,0.23388042866508957,-0.3573909370991894,0.23040353814313824,-0.052413832180177,0.0037147039673779136,0.050680594725105346,-0.033072147617608294,0.11262425772343358,0.2500071813282663,-0.23421376503480254,-0.27297916011610174,0.345806883713463,-0.16720186071914123
city_steer_median_std_over_windows,-0.10534953374688508,0.07436425359239483,-0.05900681749614084,0.6600752813382316,-0.3547038966969915,0.023586511555690526,-0.05771405848922395,-0.07513483994319667,-0.040590565693899704,1.0,0.45266665256068667,0.3387946866755571,0.16622324829935833,0.1337954197831489,-0.26533850470746373,-0.20975262988280155,-0.014583751167323059,0.003019882168919935,0.41579584023709504,0.12267326065248309,-0.06071297747754098,-0.13919623007691526,0.06306930100696363,0.6869889342461468,0.6256237352678713,0.2219758704945514,0.03431689969065677,-0.22803597802268263,0.5034680014377775,0.10703000164662684,-0.37737706299314866,-0.13926734765696017,0.10652228035476694,-0.12517573869788212,0.4201268238303972,-0.07834147276627311,-0.3140245110765667,0.28338573345158985,0.1679270098045188,-0.17847790866031252,0.01699148588140842,0.13560518032999475,-0.19098461684612297,0.09487158560970194,-0.17014944900200385,0.12308419493486905,-0.04573438592214955,-0.1328896920933017,0.12335611384679418,-0.059763766642782774,-0.016986670517577195,0.4613298101477695,0.16519379916673887,-0.06588996548694653,-0.12967767906174907,0.028571231400504295,0.3764929404092156,0.3801979152972866,-0.2198246896544897,0.3540406145866501,-0.14574301859797867,-0.2161205026938061,-0.3337467936288207,0.0646123172063499,-0.207374924466854,-0.2571210196471102,-0.3831539654201496,-0.005760715432267006,-0.2797691446800961,-0.2647676067292624,0.12667271831806956,-0.21180808993655642,0.23485885780681315,0.20197932629885207,-0.011315823716232182,-0.18574313057769712,-0.0032243431876634032,0.0858849332718493,0.17850392848385782,-0.023229773395309305,0.004723900182778158,0.14547334531782385,-0.12174128457239272,0.007869821317488255,-0.09526705191292126,-0.10053945148219282,-0.03237023273676537,0.1587651384383235,-0.07287283595741155,0.33787354965520555,-0.31772271776422684,-0.23330979996676887,0.03511298104755083,0.06642757686681765,-0.06188551980135522,0.14501584875617718,-0.07095551418005917,-0.00515622497521696,0.10115869177613612,-0.1749772137928579,0.16106227205436877,0.179640709990334,-0.3920895769169813,-0.053513175340020175,-0.11073069498666675,-0.06936111218705593,-0.0784101442849441,-0.33587879367428314,0.2635224569533328,0.0354816647174337,0.024730312725730112,0.14012347353284985
